english	translation	category	sub_category	source
Study	Çalışmak	actions	item	Fire
Remove	Kaldırmak	actions	item	Oak lectern
Lay	Sermek	actions	item	Bird snare
Activate	Etkinleştir	actions	item	Magic box
Crush	Ezmek	actions	item	Smouldering heart
Eat-from	Yemek-den	actions	item	Smouldering pile of flesh
Examine	İncelemek	actions	item	
Take	Almak	actions	item	
Light	Işık	actions	item	
(Members)	(Üyeler)	actions	item	
Walk here	Burada yürüyün	actions	manual	
Cancel	İptal etmek	actions	manual	
Accurate	Kesin	actions	menu	combatOptionsTab
Aggressive	Saldırgan	actions	menu	combatOptionsTab
Defensive	Savunmacı	actions	menu	combatOptionsTab
Controlled	Kontrollü	actions	menu	combatOptionsTab
Chop	Kesmek	actions	menu	combatOptionsTab
Slash	Eğik çizgi	actions	menu	combatOptionsTab
Stab	Bıçaklamak	actions	menu	combatOptionsTab
Block	Engellemek	actions	menu	combatOptionsTab
Pound	Pound	actions	menu	combatOptionsTab
Pummel	Yumruklamak	actions	menu	combatOptionsTab
Spike	Diken	actions	menu	combatOptionsTab
Impale	Kazığa oturtmak	actions	menu	combatOptionsTab
Smash	Paramparça etmek	actions	menu	combatOptionsTab
Lunge	Hamle	actions	menu	combatOptionsTab
Swipe	Tokatlamak	actions	menu	combatOptionsTab
Hack	Kesmek	actions	menu	combatOptionsTab
Reap	Biçmek	actions	menu	combatOptionsTab
Rapid	Ani	actions	menu	combatOptionsTab
Longrange	Uzun menzilli	actions	menu	combatOptionsTab
Flick	Fiske	actions	menu	combatOptionsTab
Lash	Kirpik	actions	menu	combatOptionsTab
Deflect	Saptırmak	actions	menu	combatOptionsTab
Fend	Savuşturmak	actions	menu	combatOptionsTab
Bash	Bash	actions	menu	combatOptionsTab
Blaze	Alev	actions	menu	combatOptionsTab
Scorch	Kavurma	actions	menu	combatOptionsTab
Flare	Parlama	actions	menu	combatOptionsTab
Punch	Yumruk	actions	menu	combatOptionsTab
Kick	Tekme atmak	actions	menu	combatOptionsTab
Hide	Saklamak	actions	menu	prayerTab
Activate	Etkinleştir	actions	menu	prayerTab
Unhide	Gizle	actions	menu	prayerTab
Deactivate	Devre dışı bırak	actions	menu	prayerTab
Animation	Animasyon	actions	menu	spellBookTab
Hide	Saklamak	actions	menu	spellBookTab
Cast	Döküm	actions	menu	spellBookTab
Unhide	Gizle	actions	menu	spellBookTab
View	Görüş	actions	menu	spellBookTab
Warnings	Uyarılar	actions	menu	spellBookTab
Configure	Yapılandır	actions	menu	spellBookTab
Grand Exchange	Büyük Borsa	actions	menu	spellBookTab
Seers'	Kahinlerin	actions	menu	spellBookTab
Group: Previous	Grup: Önceki	actions	menu	spellBookTab
