english	translation	category	sub_category	source
Hello.	Hallo.	dialogue	'Beedy-eye' Jones	Player
Ah, good day to you [milady/sirrah]! Your face is unfamiliar, did you perhaps join us aboard the ship at Lunar Isle?	Ah, einen schönen Tag wünsche ich Euch [gnädige Frau/werter Herr]! Euer Gesicht kommt mir unbekannt vor, seid Ihr vielleicht auf Lunar Isle an Bord unseres Schiffes gegangen?	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
No, Lokar offered me a lift in Rellekka actually.	Nein, Lokar hat mir eigentlich in Rellekka eine Mitfahrgelegenheit angeboten.	dialogue	'Beedy-eye' Jones	Player
Oh, really? You don't look like a Fremennik to me!	Oh, wirklich? Für mich seht Ihr nicht wie ein Fremennik aus!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Well... I kind of am, and I kind of aren't. It's a long story.	Nun... irgendwie schon, und irgendwie auch nicht. Das ist eine lange Geschichte.	dialogue	'Beedy-eye' Jones	Player
Sorry I don't have time to hear it then! See you around young fremennik-who-is-not-really-a-fremennik!	Tut mir leid, dann habe ich keine Zeit, sie mir anzuhören! Man sieht sich, junger Fremennik-der-nicht-wirklich-ein-Fremennik-ist!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Bye.	Tschüss.	dialogue	'Beedy-eye' Jones	Player
Aren't you a little short for a pirate?	Bist du nicht ein bisschen klein für einen Piraten?	dialogue	'Beedy-eye' Jones	Player
My mother was a gnome. Apparently it was a very painful birth.	Meine Mutter war ein Gnom. Anscheinend war es eine sehr schmerzhafte Geburt.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
More info than I wanted, thanks!	Mehr Infos, als ich wollte, danke!	dialogue	'Beedy-eye' Jones	Player
ARGH! SOUND THE ALARM! STOWAWAY ON BOARD! STOWAWAY ON BOARD!	ARGH! ALARM SCHLAGEN! BLINDER PASSAGIER AN BORD! BLINDER PASSAGIER AN BORD!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
No! I'm not a stowaway! Honest! I was invited here!	Nein! Ich bin kein blinder Passagier! Ehrlich! Ich wurde hierher eingeladen!	dialogue	'Beedy-eye' Jones	Player
Oh, sorry, my mistake then.	Oh, tut mir leid, dann war das mein Fehler.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You must admit you do look a lot like a stowaway though.	Du musst aber zugeben, dass du sehr nach einem blinden Passagier aussiehst.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Why, what do they usually look like?	Wieso, wie sehen die denn normalerweise aus?	dialogue	'Beedy-eye' Jones	Player
Erm... I've never actually met one...	Ähm... ich habe eigentlich noch nie einen getroffen...	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Okay then...	Na gut dann...	dialogue	'Beedy-eye' Jones	Player
Brrrr! Its cold up here!	Brrrr! Hier oben ist es kalt!	dialogue	'Beedy-eye' Jones	Player
You think this is cold? Up by Acheron it gets so cold that when you talk you see the words freeze in the air in front of you!	Du findest das kalt? Oben bei Acheron wird es so kalt, dass du, wenn du sprichst, die Worte direkt vor dir in der Luft gefrieren siehst!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
REALLY?	WIRKLICH?	dialogue	'Beedy-eye' Jones	Player
Nah, not really. I was exaggerating for humourous effect. It is very very cold though!	Nee, nicht wirklich. Ich habe das nur aus Spaß übertrieben. Aber es ist trotzdem sehr, sehr kalt!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Hello.	Hallo.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
So... You're a pirate, huh?	Also... du bist ein Pirat, was?	dialogue	'Beedy-eye' Jones	Player
It's what it says on my pay-packet at the end of the month.	So steht es jedenfalls am Monatsende auf meiner Lohntüte.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
How's that working out for you?	Und, wie läuft das für dich?	dialogue	'Beedy-eye' Jones	Player
Pretty good so far. All the grog and loot that we can plunder, plus full medical including dental.	Bisher ziemlich gut. So viel Grog und Beute, wie wir plündern können, plus volle medizinische Versorgung inklusive Zahnbehandlung.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You mean you have insurance?	Du meinst, ihr habt eine Versicherung?	dialogue	'Beedy-eye' Jones	Player
Not as such. If any of us get sick we kidnap a doctor and don't let him go until we're better.	Nicht direkt. Wenn einer von uns krank wird, entführen wir einen Arzt und lassen ihn nicht gehen, bis wir wieder gesund sind.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You'd be surprised what an incentive for expert health care that is.	Du wärst überrascht, was für ein Anreiz das für fachkundige Heilkunst ist.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I can imagine.	Das kann ich mir vorstellen.	dialogue	'Beedy-eye' Jones	Player
Hello there. So what brings you aboard the Lady Zay?	Hallo. Also, was führt dich an Bord der Lady Zay?	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Well, I was planning on visiting the Moon Clan, but I have to say your ship is very impressive.	Nun, ich hatte vor, den Mondclan zu besuchen, aber ich muss sagen, euer Schiff ist sehr beeindruckend.	dialogue	'Beedy-eye' Jones	Player
Aye, she's a beauty alright! The Lady Zay has been my home for many hard months, through storm and sun, and she always gets us to here we were headed!	Ja, sie ist wirklich eine Schönheit! Die Lady Zay ist seit vielen harten Monaten mein Zuhause, durch Sturm und Sonne, und sie bringt uns immer dorthin, wo wir hinwollten!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Yes, she's certainly one of the finest boats I've seen on my travels!	Ja, sie ist mit Sicherheit eines der schönsten Boote, die ich auf meinen Reisen gesehen habe!	dialogue	'Beedy-eye' Jones	Player
That she is [lad/lass], that she is.	Das ist sie, [Bursche/Maid], das ist sie.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Hello to you too.	Auch dir hallo.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Yar! We be pirates, yar! Avast, ye scurvy land-lubbing lychee!	Yar! Wir sind Piraten, yar! Halt ein, du skorbütige Landratte von einer Litschi!	dialogue	'Beedy-eye' Jones	Player
Please don't talk like that, it is extremely irritating.	Bitte rede nicht so, das ist extrem nervig.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Also, please don't call me a lychee, whatever that may be.	Und bitte nenn mich nicht Litschi, was auch immer das sein mag.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Oh. Okay. Sorry.	Oh. Okay. Tut mir leid.	dialogue	'Beedy-eye' Jones	Player
So how's life as a pirate?	Und wie ist so das Leben als Pirat?	dialogue	'Beedy-eye' Jones	Player
What kind of question is that? How's life as a... I dunno. Whatever it is that you do for a living.	Was ist das denn für eine Frage? Wie ist das Leben als... keine Ahnung. Was auch immer du beruflich machst.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I'm a freelance troubleshooter.	Ich bin ein freiberuflicher Problemlöser.	dialogue	'Beedy-eye' Jones	Player
What does that entail then?	Und was bedeutet das genau?	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Mostly killing things for money and delivering items around the planet for people.	Hauptsächlich Dinge für Geld töten und für Leute Gegenstände über den ganzen Planeten ausliefern.	dialogue	'Beedy-eye' Jones	Player
I collect stuff.	Ich sammle Zeug.	dialogue	'Beedy-eye' Jones	Player
So how's that life?	Und wie ist so dieses Leben?	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Can't complain, can't complain...	Kann mich nicht beklagen, kann mich nicht beklagen...	dialogue	'Beedy-eye' Jones	Player
Well, there you go.	Na, da hast du's.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Sorry, can't stop, the Captain will have my guts for garters if he catches me slacking off talking to the stowaway.	Tut mir leid, ich kann nicht aufhören, der Käpt'n zieht mir bei lebendigem Leib das Fell über die Ohren, wenn er mich beim Faulenzen mit dem blinden Passagier erwischt.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I'm not a stowaway! I was invited aboard!	Ich bin kein blinder Passagier! Ich wurde an Bord eingeladen!	dialogue	'Beedy-eye' Jones	Player
Yeah, whatever [guy/lady], it doesn't really matter who you are I'll get in trouble!	Ja, von mir aus [Kerl/Dame], es ist eigentlich egal, wer du bist, ich kriege so oder so Ärger!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You know, I've always wondered what life as a pirate actually entails.	Weißt du, ich habe mich immer gefragt, was das Leben als Pirat eigentlich so mit sich bringt.	dialogue	'Beedy-eye' Jones	Player
Well, at the moment it mostly involves being asked random questions by a stowaway.	Nun, im Moment bringt es vor allem mit sich, von einem blinden Passagier mit irgendwelchen Fragen gelöchert zu werden.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I'm not a stowaway! I was invited aboard! By Lokar! Ask him!	Ich bin kein blinder Passagier! Ich wurde an Bord eingeladen! Von Lokar! Frag ihn!	dialogue	'Beedy-eye' Jones	Player
Hey, whatever [love/pal]. Just make sure the captain doesn't catch you, pirates don't like stowaways much.	Hey, von mir aus [Schatz/Kumpel]. Pass nur auf, dass dich der Käpt'n nicht erwischt, Piraten mögen blinde Passagiere nicht besonders.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
What are you cooking?	Was kochst du da?	dialogue	'Beefy' Burns	Player
My speciality! What else could I be cooking?	Meine Spezialität! Was sollte ich sonst kochen?	dialogue	'Beefy' Burns	'Beefy' Burns
Ok, and your speciality is...?	Okay, und deine Spezialität ist...?	dialogue	'Beefy' Burns	Player
Boiled shark guts with a hint of rosemary and a dash of squid ink.	Gekochte Haieingeweide mit einem Hauch Rosmarin und einem Spritzer Tintenfischtinte.	dialogue	'Beefy' Burns	'Beefy' Burns
I think I'll stick to making my own food.	Ich glaube, ich bleibe lieber dabei, mein eigenes Essen zu machen.	dialogue	'Beefy' Burns	Player
Your loss!	Dein Verlust!	dialogue	'Beefy' Burns	'Beefy' Burns
Hello.	Hallo.	dialogue	'Betty' B.Boppin	Player
Ah, good day to you [milady/sirrah]! Your face is unfamiliar, did you perhaps join us aboard the ship at Lunar Isle?	Ah, einen schönen Tag wünsche ich Euch [gnädige Frau/werter Herr]! Euer Gesicht kommt mir unbekannt vor, seid Ihr vielleicht auf Lunar Isle an Bord unseres Schiffes gegangen?	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
No, Lokar offered me a lift in Rellekka actually.	Nein, Lokar hat mir eigentlich in Rellekka eine Mitfahrgelegenheit angeboten.	dialogue	'Betty' B.Boppin	Player
Oh, really? You don't look like a Fremennik to me!	Oh, wirklich? Für mich seht Ihr nicht wie ein Fremennik aus!	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Well... I kind of am, and I kind of aren't. It's a long story.	Nun... irgendwie schon, und irgendwie auch nicht. Das ist eine lange Geschichte.	dialogue	'Betty' B.Boppin	Player
Sorry I don't have time to hear it then! See you around young fremennik-who-is-not-really-a-fremennik!	Tut mir leid, dann habe ich keine Zeit, sie mir anzuhören! Man sieht sich, junger Fremennik-der-nicht-wirklich-ein-Fremennik-ist!	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
'Bye.	Tschüss.	dialogue	'Betty' B.Boppin	Player
You know, I've always wondered what life as a pirate actually entails.	Weißt du, ich habe mich immer gefragt, was das Leben als Pirat eigentlich so mit sich bringt.	dialogue	'Betty' B.Boppin	Player
Well, at the moment it mostly involves being asked random questions by a stowaway.	Nun, im Moment bringt es vor allem mit sich, von einem blinden Passagier mit irgendwelchen Fragen gelöchert zu werden.	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
I'm not a stowaway! I was invited aboard! By Lokar! Ask him!	Ich bin kein blinder Passagier! Ich wurde an Bord eingeladen! Von Lokar! Frag ihn!	dialogue	'Betty' B.Boppin	Player
Hey, whatever [love/pal]. Just make sure the captain doesn't catch you, pirates don't like stowaways much.	Hey, von mir aus [Schatz/Kumpel]. Pass nur auf, dass dich der Käpt'n nicht erwischt, Piraten mögen blinde Passagiere nicht besonders.	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Brrrr! Its cold up here!	Brrrr! Hier oben ist es kalt!	dialogue	'Betty' B.Boppin	Player
