english	translation	category	sub_category	source
Study	Çalisma	actions	item	Fire
Remove	Kaldir	actions	item	Oak lectern
Lay	Kur	actions	item	Bird snare
Activate	Etkinlestir	actions	item	Magic box
Crush	Ez	actions	item	Smouldering heart
Eat-from	Yiyin	actions	item	Smouldering pile of flesh
Examine	Incele	actions	item	
Take	Al	actions	item	
Light	Yak	actions	item	
(Members)	(Members)	actions	item	
Bury	Yere Göm	actions	item	Giant bones
Walk here	Buraya yürü	actions	manual	
Cancel	Iptal	actions	manual	
Accurate	Isabetli	actions	menu	combatOptionsTab
Aggressive	Agresif	actions	menu	combatOptionsTab
Defensive	Defansif	actions	menu	combatOptionsTab
Controlled	Kontrollü	actions	menu	combatOptionsTab
Chop	Kes	actions	menu	combatOptionsTab
Slash	Biç	actions	menu	combatOptionsTab
Stab	Sapla	actions	menu	combatOptionsTab
Block	Engelle	actions	menu	combatOptionsTab
Pound	Vur	actions	menu	combatOptionsTab
Pummel	Döv	actions	menu	combatOptionsTab
Spike	Sapla	actions	menu	combatOptionsTab
Impale	Del	actions	menu	combatOptionsTab
Smash	Parçala	actions	menu	combatOptionsTab
Lunge	Atil	actions	menu	combatOptionsTab
Swipe	Salla	actions	menu	combatOptionsTab
Hack	Kes	actions	menu	combatOptionsTab
Reap	Biç	actions	menu	combatOptionsTab
Rapid	Hizli	actions	menu	combatOptionsTab
Longrange	Uzun menzilli	actions	menu	combatOptionsTab
Flick	Çirp	actions	menu	combatOptionsTab
Lash	Kirbacla	actions	menu	combatOptionsTab
Deflect	Saptir	actions	menu	combatOptionsTab
Fend	Savun	actions	menu	combatOptionsTab
Bash	Vur	actions	menu	combatOptionsTab
Blaze	Atesle	actions	menu	combatOptionsTab
Scorch	Yak	actions	menu	combatOptionsTab
Flare	Alev	actions	menu	combatOptionsTab
Punch	Yumruk	actions	menu	combatOptionsTab
Kick	Tekme	actions	menu	combatOptionsTab
Hide	Gizle	actions	menu	prayerTab
Activate	Etkinlestir	actions	menu	prayerTab
Unhide	Gizlemeyi kaldir	actions	menu	prayerTab
Deactivate	Devre disi birak	actions	menu	prayerTab
Animation	Animasyon	actions	menu	spellBookTab
Hide	Gizle	actions	menu	spellBookTab
Cast	Büyü-yap	actions	menu	spellBookTab
Unhide	Gizlemeyi kaldir	actions	menu	spellBookTab
View	Görüntüle	actions	menu	spellBookTab
Warnings	Uyarilar	actions	menu	spellBookTab
Configure	Yapilandir	actions	menu	spellBookTab
Grand Exchange	Grand Exchange	actions	menu	spellBookTab
Seers'	Seers'	actions	menu	spellBookTab
Group: Previous	Grup: Önceki	actions	menu	spellBookTab
Group: Choose	Grup: Sec	actions	menu	spellBookTab
Outside	Disarisi	actions	menu	spellBookTab
Yanille	Yanille	actions	menu	spellBookTab
Enable warning	Uyariyi etkinlestir	actions	menu	spellBookTab
Disable warning	Uyariyi devre disi birak	actions	menu	spellBookTab
Turael	Turael	actions	menu	spellBookTab
Target	Hedef	actions	menu	spellBookTab
Setup	Kurulum	actions	menu	spellBookTab
Arceuus	Arceuus	actions	menu	spellBookTab
Ancient	Ancient	actions	menu	spellBookTab
Standard	Standard	actions	menu	spellBookTab
Reanimate	Canlandir	actions	menu	spellBookTab
Resurrect	Dirilt	actions	menu	spellBookTab
Adjust Music Volume	Müzik Sesini Ayarla	actions	menu	settingsTab
Adjust Area Sound Volume	Alan Ses Seviyesini Ayarla	actions	menu	settingsTab
Adjust Sound Effect Volume	Ses Efekti Ses Seviyesini Ayarla	actions	menu	settingsTab
Toggle unlock message	Kilidi Acma Mesajini Ac/Kapat	actions	menu	settingsTab
Play	Oyna	actions	menu	
Open Activity Adviser	Etkinlik Danismani Ac	actions	menu	
<colNum0>Set chat mode:</col> Group (/@g)		actions	menu	
<colNum0>Set chat mode:</col> Guest Clan (/@gc)		actions	menu	
<colNum0>Set chat mode:</col> Clan (/@c)		actions	menu	
<colNum0>Set chat mode:</col> Channel (/@f)		actions	menu	
<colNum0>Set chat mode:</col> Public (/@p)		actions	menu	
Clear history	Gecmisi temizle	actions	menu	
