english	translation	category	sub_category	source
Study	Estudiar	actions	item	Fire
Remove	Quitar	actions	item	Oak lectern
Lay	Poner	actions	item	Bird snare
Activate	Activar	actions	item	Magic box
Crush	Aplastar	actions	item	Smouldering heart
Eat-from	Comer de	actions	item	Smouldering pile of flesh
Bury	Enterrar	actions	item	Giant bones
Examine	Examinar	actions	item	
Take	Tomar	actions	item	
Light	Encender	actions	item	
(Members)	<colNum0>(Miembros)</col>	actions	item	
Walk here	Caminar aquí	actions	manual	
Cancel	Cancelar	actions	manual	
Accurate	Preciso	actions	menu	combatOptionsTab
Aggressive	Agresivo	actions	menu	combatOptionsTab
Defensive	Defensivo	actions	menu	combatOptionsTab
Controlled	Controlado	actions	menu	combatOptionsTab
Chop	Cortar	actions	menu	combatOptionsTab
Slash	Cortar	actions	menu	combatOptionsTab
Stab	Apuñalar	actions	menu	combatOptionsTab
Block	Bloquear	actions	menu	combatOptionsTab
Pound	Golpear	actions	menu	combatOptionsTab
Pummel	Aporrear	actions	menu	combatOptionsTab
Spike	Clavar	actions	menu	combatOptionsTab
Impale	Empalar	actions	menu	combatOptionsTab
Smash	Romper	actions	menu	combatOptionsTab
Lunge	Embestir	actions	menu	combatOptionsTab
Swipe	Golpear	actions	menu	combatOptionsTab
Hack	Cortar	actions	menu	combatOptionsTab
Reap	Cosechar	actions	menu	combatOptionsTab
Rapid	Rápido	actions	menu	combatOptionsTab
Longrange	Largo alcance	actions	menu	combatOptionsTab
Flick	Golpe rápido	actions	menu	combatOptionsTab
Lash	Latigazo	actions	menu	combatOptionsTab
Deflect	Desviar	actions	menu	combatOptionsTab
Fend	Defender	actions	menu	combatOptionsTab
Bash	Golpear	actions	menu	combatOptionsTab
Blaze	Llamear	actions	menu	combatOptionsTab
Scorch	Quemar	actions	menu	combatOptionsTab
Flare	Destellar	actions	menu	combatOptionsTab
Punch	Puñetazo	actions	menu	combatOptionsTab
Kick	Patear	actions	menu	combatOptionsTab
Hide	Ocultar	actions	menu	prayerTab
Activate	Activar	actions	menu	prayerTab
Unhide	Mostrar	actions	menu	prayerTab
Deactivate	Desactivar	actions	menu	prayerTab
Animation	Animación	actions	menu	spellBookTab
Hide	Ocultar	actions	menu	spellBookTab
Cast	Lanzar	actions	menu	spellBookTab
Unhide	Mostrar	actions	menu	spellBookTab
View	Ver	actions	menu	spellBookTab
Warnings	Advertencias	actions	menu	spellBookTab
Configure	Configurar	actions	menu	spellBookTab
Grand Exchange	Gran Intercambio	actions	menu	spellBookTab
Seers'	De los Videntes	actions	menu	spellBookTab
Group: Previous	<colNum0>Grupo: Anterior</col>	actions	menu	spellBookTab
Group: Choose	<colNum0>Grupo: Elegir</col>	actions	menu	spellBookTab
Outside	Fuera	actions	menu	spellBookTab
Yanille	Yanille	actions	menu	spellBookTab
Enable warning	Activar advertencia	actions	menu	spellBookTab
Disable warning	Desactivar advertencia	actions	menu	spellBookTab
Turael	Turael	actions	menu	spellBookTab
Target	Objetivo	actions	menu	spellBookTab
Setup	Configurar	actions	menu	spellBookTab
Arceuus	Arceuus	actions	menu	spellBookTab
Ancient	Antiguo	actions	menu	spellBookTab
Standard	Estándar	actions	menu	spellBookTab
Reanimate	Reanimar	actions	menu	spellBookTab
Resurrect	Resucitar	actions	menu	spellBookTab
Adjust Music Volume	Ajustar volumen de música	actions	menu	settingsTab
Adjust Area Sound Volume	Ajustar volumen de sonido del área	actions	menu	settingsTab
Adjust Sound Effect Volume	Ajustar volumen de efectos de sonido	actions	menu	settingsTab
Toggle unlock message	Alternar mensaje de desbloqueo	actions	menu	settingsTab
Play	Reproducir	actions	menu	
Open Activity Adviser	Abrir consejero de actividades	actions	menu	
<colNum0>Set chat mode:</col> Group (/@g)	<colNum0>Establecer modo de chat:</col> Grupo (/@g)	actions	menu	
<colNum0>Set chat mode:</col> Guest Clan (/@gc)	<colNum0>Establecer modo de chat:</col> Clan invitado (/@gc)	actions	menu	
<colNum0>Set chat mode:</col> Clan (/@c)	<colNum0>Establecer modo de chat:</col> Clan (/@c)	actions	menu	
<colNum0>Set chat mode:</col> Channel (/@f)	<colNum0>Establecer modo de chat:</col> Canal (/@f)	actions	menu	
<colNum0>Set chat mode:</col> Public (/@p)	<colNum0>Establecer modo de chat:</col> Público (/@p)	actions	menu	
Clear history	Limpiar historial	actions	menu	
Switch tab	Cambiar pestaña	actions	menu	
Configure filter	Configurar filtro	actions	menu	
<colNum0>Game:</col> Clear history	<colNum0>Juego:</col> Limpiar historial	actions	menu	
<colNum0>Game:</col> Filter	<colNum0>Juego:</col> Filtrar	actions	menu	
Setup your autochat	Configurar tu chat automático	actions	menu	
Filter public chat	Filtrar chat público	actions	menu	
<colNum0>Public:</col> Clear history	<colNum0>Público:</col> Limpiar historial	actions	menu	
<colNum0>Public:</col> Hide	<colNum0>Público:</col> Ocultar	actions	menu	
<colNum0>Public:</col> Show none	<colNum0>Público:</col> No mostrar	actions	menu	
<colNum0>Public:</col> Show friends	<colNum0>Público:</col> Mostrar amigos	actions	menu	
<colNum0>Public:</col> Show standard	<colNum0>Público:</col> Mostrar estándar	actions	menu	
<colNum0>Public:</col> Show autochat	<colNum0>Público:</col> Mostrar chat automático	actions	menu	
<colNum0>Private:</col> Clear history	<colNum0>Privado:</col> Limpiar historial	actions	menu	
<colNum0>Private:</col> Show none	<colNum0>Privado:</col> No mostrar	actions	menu	
<colNum0>Private:</col> Show friends	<colNum0>Privado:</col> Mostrar amigos	actions	menu	
<colNum0>Private:</col> Show all	<colNum0>Privado:</col> Mostrar todo	actions	menu	
<colNum0>Channel:</col> Clear history	<colNum0>Canal:</col> Limpiar historial	actions	menu	
<colNum0>Channel:</col> Show none	<colNum0>Canal:</col> No mostrar	actions	menu	
<colNum0>Channel:</col> Show friends	<colNum0>Canal:</col> Mostrar amigos	actions	menu	
<colNum0>Channel:</col> Show all	<colNum0>Canal:</col> Mostrar todo	actions	menu	
<colNum0>Clan:</col> Clear history	<colNum0>Clan:</col> Limpiar historial	actions	menu	
<colNum0>Clan:</col> Show none	<colNum0>Clan:</col> No mostrar	actions	menu	
<colNum0>Clan:</col> Show friends	<colNum0>Clan:</col> Mostrar amigos	actions	menu	
<colNum0>Clan:</col> Show all	<colNum0>Clan:</col> Mostrar todo	actions	menu	
<colNum0>Group:</col> Clear history	<colNum0>Grupo:</col> Limpiar historial	actions	menu	
<colNum0>Group:</col> Show none	<colNum0>Grupo:</col> No mostrar	actions	menu	
<colNum0>Group:</col> Show friends	<colNum0>Grupo:</col> Mostrar amigos	actions	menu	
<colNum0>Group:</col> Show all	<colNum0>Grupo:</col> Mostrar todo	actions	menu	
<colNum0>Trade:</col> Clear history	<colNum0>Comercio:</col> Limpiar historial	actions	menu	
<colNum0>Trade:</col> Show none	<colNum0>Comercio:</col> No mostrar	actions	menu	
<colNum0>Trade:</col> Show friends	<colNum0>Comercio:</col> Mostrar amigos	actions	menu	
<colNum0>Trade:</col> Show all	<colNum0>Comercio:</col> Mostrar todo	actions	menu	
Report game bug	Reportar error del juego	actions	menu	
Report abuse	Reportar abuso	actions	menu	
Combat Options	Opciones de combate	actions	menu	
Skills	Habilidades	actions	menu	
