english	translation	category	sub_category	source
Barbarian Assault	Barbarenangriff	manual	activity	
Blast Furnace	Hochofen	manual	activity	
Castle Wars	Schlosskriege	manual	activity	
Fishing Trawler	Fischtrawler	manual	activity	
Burthorpe Games Room	Burthorpe-Spielzimmer	manual	activity	
Nightmare Zone	Albtraumzone	manual	activity	
Pest Control	Schädlingsbekämpfung	manual	activity	
Rat Pits	Rattengruben	manual	activity	
Shades of Mort'ton	Schatten von Mort'ton	manual	activity	
Trouble Brewing	Ärger beim Brauen	manual	activity	
TzHaar Fight Pit	TzHaar-Kampfgrube	manual	activity	
Shield of Arrav	Schild von Arrav	manual	activity	
Clan Wars	Clankriege	manual	activity	
Giants' Foundry	Riesengießerei	manual	activity	
God Wars	Götterkriege	manual	activity	
Guardians of the Rift	Wächter der Kluft	manual	activity	
Dagannoth Kings	Dagannoth-Könige	manual	activity	
Player Owned Houses	Spielereigene Häuser	manual	activity	
Tithe Farm	Zehntfarm	manual	activity	
Last Man Standing	Der letzte Überlebende	manual	activity	
Volcanic Mine	Vulkanmine	manual	activity	
Theatre of Blood	Theater des Blutes	manual	activity	
Soul Wars	Seelenkriege	manual	activity	
Shooting Stars	Sternschnuppen	manual	activity	
Tombs of Amascut	Gräber von Amascut	manual	activity	
Mage Training Arena	Magier-Trainingsarena	manual	activity	
Yes	Ja	manual	emote	
No	Nein	manual	emote	
Bow	Verbeugen	manual	emote	
Angry	Wütend	manual	emote	
Think	Nachdenken	manual	emote	
Wave	Winken	manual	emote	
Shrug	Schulterzucken	manual	emote	
Cheer	Jubeln	manual	emote	
Beckon	Heranwinken	manual	emote	
Laugh	Lachen	manual	emote	
Jump for Joy	Freudensprung	manual	emote	
Yawn	Gähnen	manual	emote	
Dance	Tanzen	manual	emote	
Jig	Jig	manual	emote	
Spin	Drehen	manual	emote	
Headbang	Headbangen	manual	emote	
Cry	Weinen	manual	emote	
Blow Kiss	Kusshand	manual	emote	
Panic	Panik	manual	emote	
Raspberry	Zunge rausstrecken	manual	emote	
Clap	Klatschen	manual	emote	
Salute	Salutieren	manual	emote	
Goblin Bow	Goblin-Verbeugung	manual	emote	
Goblin Salute	Goblin-Gruß	manual	emote	
Glass Box	Gläserne Kiste	manual	emote	
Climb Rope	Seil hochklettern	manual	emote	
Lean	Anlehnen	manual	emote	
Glass Wall	Gläserne Wand	manual	emote	
Idea	Idee	manual	emote	
Stamp	Aufstampfen	manual	emote	
Flap	Flattern	manual	emote	
Slap Head	Kopf klatschen	manual	emote	
Zombie Walk	Zombie-Gang	manual	emote	
Zombie Dance	Zombie-Tanz	manual	emote	
Scared	Verängstigt	manual	emote	
Rabbit Hop	Hasenhüpfer	manual	emote	
Skill Cape	Fertigkeitsumhang	manual	emote	
Zombie Hand	Zombie-Hand	manual	emote	
Air Guitar	Luftgitarre	manual	emote	
Sit up	Sit-up	manual	emote	
Push up	Liegestütz	manual	emote	
Star jump	Hampelmann	manual	emote	
Jog	Joggen	manual	emote	
Flex	Muskeln spielen lassen	manual	emote	
Hypermobile Drinker	Hypermobiler Trinker	manual	emote	
Uri transform	Uri-Verwandlung	manual	emote	
Smooth dance	Geschmeidiger Tanz	manual	emote	
