english	translation	category	sub_category	source
Barbarian Assault	Barbarangrep	manual	activity	
Blast Furnace	Masovn	manual	activity	
Castle Wars	Slottskrig	manual	activity	
Fishing Trawler	Fisketråler	manual	activity	
Burthorpe Games Room	Burthorpe spillrom	manual	activity	
Nightmare Zone	Marerittsone	manual	activity	
Pest Control	Skadedyrkontroll	manual	activity	
Rat Pits	Rottegroper	manual	activity	
Shades of Mort'ton	Shades of Mort'ton	manual	activity	
Trouble Brewing	Problemer med å brygge	manual	activity	
TzHaar Fight Pit	TzHaar Fight Pit	manual	activity	
Shield of Arrav	Arravs skjold	manual	activity	
Clan Wars	Klankriger	manual	activity	
Giants' Foundry	Giants' Støperi	manual	activity	
God Wars	God Wars	manual	activity	
Guardians of the Rift	Guardians of the Rift	manual	activity	
Dagannoth Kings	Dagannoth Konger	manual	activity	
Player Owned Houses	Spillereide hus	manual	activity	
Tithe Farm	Tiendegård	manual	activity	
Last Man Standing	Siste mann som står	manual	activity	
Volcanic Mine	Vulkangruve	manual	activity	
Theatre of Blood	Teater av Blod	manual	activity	
Soul Wars	Sjelekriger	manual	activity	
Shooting Stars	Stjerneskudd	manual	activity	
Tombs of Amascut	Gravene til Amascut	manual	activity	
Mage Training Arena	Magitreningsarena	manual	activity	
Barbarian Assault	Barbarangrep	manual	activity	
Blast Furnace	Masovn	manual	activity	
Castle Wars	Slottskrig	manual	activity	
Fishing Trawler	Fisketråler	manual	activity	
Burthorpe Games Room	Burthorpe spillrom	manual	activity	
Nightmare Zone	Marerittsone	manual	activity	
Pest Control	Skadedyrkontroll	manual	activity	
Rat Pits	Rottegroper	manual	activity	
Shades of Mort'ton	Skyggen av Mort'ton	manual	activity	
Trouble Brewing	Bryggetrøbbel	manual	activity	
TzHaar Fight Pit	TzHaar slossegrop	manual	activity	
Shield of Arrav	Skjoldet til Arrav	manual	activity	
Clan Wars	Klankriger	manual	activity	
Giants' Foundry	Kjempenes hule	manual	activity	
God Wars	Gudekriger	manual	activity	
Guardians of the Rift	Vokterne av riften	manual	activity	
Dagannoth Kings	Dagannoth Konger	manual	activity	
Player Owned Houses	Spillereide Hus	manual	activity	
Tithe Farm	Tiendegård	manual	activity	
Last Man Standing	Siste mann som står	manual	activity	
Volcanic Mine	Vulkangruve	manual	activity	
Theatre of Blood	Blodteater	manual	activity	
