english	translation	category	sub_category	source
The body of a Dwarf savaged by Goblins.	Goblinler tarafından parçalanmış bir Cücenin bedeni.	examine	item	Dwarf remains
Good for repairing broken cannons.	Kırık topların tamirinde kullanılır.	examine	item	Toolkit
Ammo for the Dwarf Cannon.	Cüce Topu için cephane.	examine	item	Cannonball
Construction notes for Dwarf cannon ammo.	Cüce top mühimmatına ait yapım notları.	examine	item	Nulodion's notes
Used to make cannon ammunition.	Top mermisi yapımında kullanılır.	examine	item	Ammo mould
An old note book.	Eski bir not defteri.	examine	item	Instruction manual
The cannon is built on this.	Top bunun üzerine inşa edilmiştir.	examine	item	Cannon base
The mounting for the multicannon.	Çoklu topun montajı.	examine	item	Cannon stand
The barrels of the multicannon.	Çok namlulu topun namluları.	examine	item	Cannon barrels
This powers the multicannon.	Bu, çoklu topa güç sağlar.	examine	item	Cannon furnace
A metal railing replacement.	Metal korkuluk değişimi.	examine	item	Railing
A cloth given to me by Sir Galahad.	Sir Galahad'ın bana verdiği bir bez.	examine	item	Holy table napkin
A small tin whistle.	Küçük bir teneke düdük.	examine	item	Magic whistle
I wonder what happens when I ring it?	Acaba çaldığımda ne oluyor?	examine	item	Grail bell
It will point the way for me.	Bana yol gösterecek.	examine	item	Magic gold feather
A holy and powerful artefact.	Kutsal ve güçlü bir eser.	examine	item	Holy grail
A cog from some machinery.	Bir makinenin dişlisi.	examine	item	White cog
Doesn't look very tasty.	Pek lezzetli görünmüyor.	examine	item	Rat poison
Wormy.	Kurtlu.	examine	item	Red vine worm
Hemenster fishing contest trophy.	Hemenster balıkçılık yarışması kupası.	examine	item	Fishing trophy
Pass to the Hemenster fishing contest.	Hemenster balık tutma yarışmasına katılın.	examine	item	Fishing pass
Drives away all known 6 legged creatures.	Bilinen tüm 6 bacaklı yaratıkları uzaklaştırır.	examine	item	Insect repellent
It's a bucket of wax.	Bu bir kova mum.	examine	item	Bucket of wax
A lit spooky candle.	Yanan ürkütücü bir mum.	examine	item	Lit black candle
A lit candle.	Yanan bir mum.	examine	item	Lit candle
This used to belong to King Arthur.	Bu eskiden Kral Arthur'a aitmiş.	examine	item	Excalibur
A candle.	Bir mum.	examine	item	Candle
A spooky candle.	Ürkütücü bir mum.	examine	item	Black candle
I can make some arrows with these.	Bunlarla ok yapabilirim.	examine	item	Bronze arrowtips
Opal bolt tips.	Opal cıvata uçları.	examine	item	Opal bolt tips
Pearl bolt tips.	İnci cıvata uçları.	examine	item	Pearl bolt tips
I can make bolts with these.	Bunlarla cıvata yapabilirim.	examine	item	Barb bolttips
I need to find a string for this.	Bunun için bir dize bulmam gerekiyor.	examine	item	Longbow (u)
A wooden arrow shaft.	Ahşap ok sapı.	examine	item	Arrow shaft
A wooden arrow shaft with flights attached.	Üzerinde kanatlar bulunan tahta ok sapı.	examine	item	Headless arrow
An unstrung oak shortbow; I need a bowstring for this.	Gerilmemiş meşe kısa yayı; bunun için bir yay kirişine ihtiyacım var.	examine	item	Oak shortbow (u)
An unstrung oak longbow; I need a bowstring for this.	Gerilmemiş meşe yay; bunun için bir yay kirişine ihtiyacım var.	examine	item	Oak longbow (u)
An unstrung willow longbow; I need a bowstring for this.	Gerilmemiş bir söğüt yayı; bunun için bir yay kirişine ihtiyacım var.	examine	item	Willow longbow (u)
An unstrung willow shortbow; I need a bowstring for this.	Gerilmemiş bir söğüt yayı; bunun için bir yay kirişine ihtiyacım var.	examine	item	Willow shortbow (u)
An unstrung maple longbow; I need a bowstring for this.	Gerilmemiş bir akçaağaç yay; bunun için bir yay kirişine ihtiyacım var.	examine	item	Maple longbow (u)
An unstrung maple shortbow; I need a bowstring for this.	Gerilmemiş bir akçaağaç kısa yayı; bunun için bir yay kirişine ihtiyacım var.	examine	item	Maple shortbow (u)
An unstrung yew longbow; I need a bowstring for this.	Gerilmemiş bir porsuk yayı; bunun için bir yay kirişine ihtiyacım var.	examine	item	Yew longbow (u)
An unstrung yew shortbow; I need a bowstring for this.	Gerilmemiş bir porsuk ağacından kısa yay; bunun için bir yay kirişine ihtiyacım var.	examine	item	Yew shortbow (u)
An unstrung magic longbow; I need a bowstring for this.	Gerilmemiş sihirli bir uzun yay; bunun için bir yay kirişine ihtiyacım var.	examine	item	Magic longbow (u)
An unstrung magic shortbow; I need a bowstring for this.	Gerilmemiş sihirli bir kısa yay; bunun için bir yay kirişine ihtiyacım var.	examine	item	Magic shortbow (u)
A helmet, as worn by the minions of General Khazard.	General Khazard'ın adamlarının giydiği bir miğfer.	examine	item	Khazard helmet
Armour, as worn by the minions of General Khazard.	General Khazard'ın adamlarının giydiği zırh.	examine	item	Khazard armour
These keys open the cells at the Khazard fight arena (Used in the Fight Arena quest).	Bu anahtarlar Khazard dövüş arenasındaki hücreleri açar (Dövüş Arenası görevinde kullanılır).	examine	item	Khazard cell keys
A bottle of Khazard's worst brew.	Khazard'ın en kötü içkisinden bir şişe.	examine	item	Khali brew
Can only be fired from yew, magic, dark or twisted bows.	Sadece porsuk, büyü, karanlık veya bükülmüş yaylarla ateşlenebilir.	examine	item	Ice arrows
A lever to open something perhaps?	Bir şeyi açmak için bir kaldıraç mı acaba?	examine	item	Lever
The power in this staff causes it to vibrate gently.	Bu asadaki güç onun hafifçe titreşmesine neden olur.	examine	item	Staff of armadyl
It catches the light! (Quick access into the Temple of Ikov).	Işığı yakalıyor! (İkov Tapınağı'na hızlı erişim).	examine	item	Shiny key
An amulet made by Lucien.	Lucien'in yaptığı bir muska.	examine	item	Pendant of lucien
Worn by followers of Armadyl.	Armadyl'in takipçileri tarafından giyilir.	examine	item	Armadyl pendant
Magic boots that make you lighter than normal.	Normalden daha hafif olmanızı sağlayacak sihirli botlar.	examine	item	Boots of lightness
It's very soft!	Çok yumuşak!	examine	item	Child's blanket
I need another ingredient to finish this Guam potion.	Bu Guam iksirini tamamlamak için başka bir malzemeye ihtiyacım var.	examine	item	Guam potion (unf)
I need another ingredient to finish this Marrentill potion.	Bu Marrentill iksirini tamamlamak için başka bir malzemeye ihtiyacım var.	examine	item	Marrentill potion (unf)
I need another ingredient to finish this Tarromin potion.	Bu Tarromin iksirini bitirmek için başka bir malzemeye ihtiyacım var.	examine	item	Tarromin potion (unf)
I need another ingredient to finish this Harralander potion.	Bu Harralander iksirini bitirmek için başka bir malzemeye ihtiyacım var.	examine	item	Harralander potion (unf)
I need another ingredient to finish this Ranarr potion.	Bu Ranarr iksirini bitirmek için başka bir malzemeye ihtiyacım var.	examine	item	Ranarr potion (unf)
I need another ingredient to finish this Irit potion.	Bu Irit iksirini bitirmek için başka bir malzemeye ihtiyacım var.	examine	item	Irit potion (unf)
I need another ingredient to finish this Avantoe potion.	Bu Avantoe iksirini bitirmek için başka bir malzemeye ihtiyacım var.	examine	item	Avantoe potion (unf)
I need another ingredient to finish this Kwuarm potion.	Bu Kwuarm iksirini bitirmek için başka bir malzemeye ihtiyacım var.	examine	item	Kwuarm potion (unf)
I need another ingredient to finish this Cadantine potion.	Bu Cadantine iksirini tamamlamak için başka bir malzemeye ihtiyacım var.	examine	item	Cadantine potion (unf)
I need another ingredient to finish this Dwarf Weed potion.	Bu Cüce Otu iksirini bitirmek için başka bir malzemeye ihtiyacım var.	examine	item	Dwarf weed potion (unf)
I need another ingredient to finish this Torstol potion.	Bu Torstol iksirini bitirmek için başka bir malzemeye ihtiyacım var.	examine	item	Torstol potion (unf)
4 doses of Strength potion.	4 doz Güç iksiri.	examine	item	Strength potion(4)
3 doses of Strength potion.	3 doz Güç iksiri.	examine	item	Strength potion(3)
2 doses of Strength potion.	2 doz Güç iksiri.	examine	item	Strength potion(2)
1 dose of Strength potion.	1 doz Güç iksiri.	examine	item	Strength potion(1)
3 doses of Attack potion.	3 doz Saldırı iksiri.	examine	item	Attack potion(3)
2 doses of Attack potion.	2 doz Saldırı iksiri.	examine	item	Attack potion(2)
1 dose of Attack potion.	1 doz Saldırı iksiri.	examine	item	Attack potion(1)
3 doses of restore potion.	3 doz iyileştirme iksiri.	examine	item	Restore potion(3)
2 doses of restore potion.	2 doz iyileştirme iksiri.	examine	item	Restore potion(2)
1 dose of restore potion.	1 doz iyileştirme iksiri.	examine	item	Restore potion(1)
3 doses of Defence potion.	3 doz Savunma iksiri.	examine	item	Defence potion(3)
2 doses of Defence potion.	2 doz Savunma iksiri.	examine	item	Defence potion(2)
1 dose of Defence potion.	1 doz Savunma iksiri.	examine	item	Defence potion(1)
3 doses of Prayer restore potion.	3 doz Dua iyileştirme iksiri.	examine	item	Prayer potion(3)
