english	translation	category	sub_category	source
Destroy	Tahrip etmek	inventoryActions	item	Dwarf remains
Drop	Düşürmek	inventoryActions	item	Cannonball
Read	Okumak	inventoryActions	item	Nulodion's notes
Set-up	Kurmak	inventoryActions	item	Cannon base
Blow	Üflemek	inventoryActions	item	Magic whistle
Ring	Yüzük	inventoryActions	item	Grail bell
Blow-on	Üfleme	inventoryActions	item	Magic gold feather
Extinguish	Söndürmek	inventoryActions	item	Lit black candle
Wield	Kullan	inventoryActions	item	Excalibur
Wear	Giymek	inventoryActions	item	Khazard helmet
Empty	Boş	inventoryActions	item	Guam potion (unf)
Drink	İçmek	inventoryActions	item	Strength potion(4)
Clean	Temiz	inventoryActions	item	Grimy guam leaf
Eat	Yemek yemek	inventoryActions	item	Jangerberries
Equip	Donatmak	inventoryActions	item	Cattleprod
Plant	Bitki	inventoryActions	item	Mithril seeds
Open	Açık	inventoryActions	item	Casket
Throw	Fırlatmak	inventoryActions	item	Bird feed
Bury	Gömmek	inventoryActions	item	Bones
Inspect	İncelemek	inventoryActions	item	Ghost's skull
Bail-with	Kefaletle serbest bırakma	inventoryActions	item	Bailing bucket
Activate	Etkinleştir	inventoryActions	item	Locating crystal
Search	Aramak	inventoryActions	item	Panning tray
Polish	Lehçe	inventoryActions	item	Buttons
Look-at	Bak-at	inventoryActions	item	Level 1 certificate
Complete	Tamamlamak	inventoryActions	item	Radimus notes
Swing	Sallanmak	inventoryActions	item	Bullroarer
Look	Bakmak	inventoryActions	item	Sketch
Enchant-Vials	Büyülü Şişeler	inventoryActions	item	Binding book
Investigate	Araştırmak	inventoryActions	item	Dark dagger
Cast Spell	Büyü Yap	inventoryActions	item	Holy force
Hold	Tutmak	inventoryActions	item	Gnomeball
Dig	Kazmak	inventoryActions	item	Spade
Blackout	Karartma	inventoryActions	item	Disk of returning
Check	Kontrol etmek	inventoryActions	item	Iban's staff
Locate	Bulmak	inventoryActions	item	Air talisman
Rub-together	Birbirine sürtünerek	inventoryActions	item	Dry sticks
Study	Çalışmak	inventoryActions	item	Map part
Rub	Ovmak	inventoryActions	item	Amulet of glory
Edgeville	Edgeville	inventoryActions	item	Amulet of glory(1)
Karamja	Karamja	inventoryActions	item	Amulet of glory(1)
Draynor Village	Draynor Köyü	inventoryActions	item	Amulet of glory(1)
Al Kharid	El-Harid	inventoryActions	item	Amulet of glory(1)
Tan Leather	Tan Deri	inventoryActions	item	Leather
Empty Bowl	Boş Kase	inventoryActions	item	Burnt stew
Mix-cocktail	Karışık kokteyl	inventoryActions	item	Cocktail shaker
Remove-legs	Bacakları çıkarın	inventoryActions	item	Swamp toad
Prepare	Hazırlanmak	inventoryActions	item	Half baked bowl
Empty Tray	Boş Tepsi	inventoryActions	item	Burnt crunchies
Empty Tin	Boş Teneke	inventoryActions	item	Burnt batta
Empty Dish	Boş Tabak	inventoryActions	item	Burnt pie
Guzzle	Yudumlamak	inventoryActions	item	Rock cake
Play-with	Oynamak	inventoryActions	item	Brown toy horsey
Recharge Dragonstone	Ejderha Taşını Yeniden Şarj Et	inventoryActions	item	Dead orb
Break	Kırmak	inventoryActions	item	Ring of recoil
