english	translation	category	sub_category	source
Dwarf remains	Cüce kalıntıları	name	item	Dwarf remains
Toolkit	Araç seti	name	item	Toolkit
Cannonball	Gülle	name	item	Cannonball
Nulodion's notes	Nulodion'un notları	name	item	Nulodion's notes
Ammo mould	Mühimmat kalıbı	name	item	Ammo mould
Instruction manual	Kullanım kılavuzu	name	item	Instruction manual
Cannon base	Top tabanı	name	item	Cannon base
Cannon stand	Top standı	name	item	Cannon stand
Cannon barrels	Top namluları	name	item	Cannon barrels
Cannon furnace	Top fırını	name	item	Cannon furnace
Railing	Korkuluk	name	item	Railing
Holy table napkin	Kutsal masa peçetesi	name	item	Holy table napkin
Magic whistle	Sihirli düdük	name	item	Magic whistle
Grail bell	Kutsal kase çanı	name	item	Grail bell
Magic gold feather	Sihirli altın tüy	name	item	Magic gold feather
Holy grail	Kutsal kase	name	item	Holy grail
White cog	Beyaz dişli	name	item	White cog
Black cog	Siyah dişli	name	item	Black cog
Blue cog	Mavi dişli	name	item	Blue cog
Red cog	Kırmızı dişli	name	item	Red cog
Rat poison	Fare zehiri	name	item	Rat poison
Red vine worm	Kırmızı asma kurdu	name	item	Red vine worm
Fishing trophy	Balıkçılık kupası	name	item	Fishing trophy
Fishing pass	Balıkçılık geçidi	name	item	Fishing pass
Insect repellent	Böcek kovucu	name	item	Insect repellent
Bucket of wax	Balmumu kovası	name	item	Bucket of wax
Lit black candle	Siyah mum yakıldı	name	item	Lit black candle
Lit candle	Yanan mum	name	item	Lit candle
Excalibur	Excalibur	name	item	Excalibur
Candle	Mum	name	item	Candle
Black candle	Siyah mum	name	item	Black candle
Bronze arrowtips	Bronz ok uçları	name	item	Bronze arrowtips
Iron arrowtips	Demir ok uçları	name	item	Iron arrowtips
Steel arrowtips	Çelik ok uçları	name	item	Steel arrowtips
Mithril arrowtips	Mithril ok uçları	name	item	Mithril arrowtips
Adamant arrowtips	Adamant ok uçları	name	item	Adamant arrowtips
Rune arrowtips	Rün ok uçları	name	item	Rune arrowtips
Opal bolt tips	Opal cıvata uçları	name	item	Opal bolt tips
Pearl bolt tips	İnci cıvata uçları	name	item	Pearl bolt tips
Barb bolttips	Dikenli cıvata uçları	name	item	Barb bolttips
Longbow (u)	Uzun yay (u)	name	item	Longbow (u)
Shortbow (u)	Kısa yay (u)	name	item	Shortbow (u)
Arrow shaft	Ok şaftı	name	item	Arrow shaft
Headless arrow	Başsız ok	name	item	Headless arrow
Oak shortbow (u)	Meşe kısa yayı (u)	name	item	Oak shortbow (u)
Oak longbow (u)	Meşe uzun yayı (u)	name	item	Oak longbow (u)
Willow longbow (u)	Söğüt uzun yayı (u)	name	item	Willow longbow (u)
Willow shortbow (u)	Söğüt kısa yayı (u)	name	item	Willow shortbow (u)
Maple longbow (u)	Akçaağaç uzun yayı (u)	name	item	Maple longbow (u)
Maple shortbow (u)	Akçaağaç kısa yayı (u)	name	item	Maple shortbow (u)
Yew longbow (u)	Porsuk ağacından yapılmış uzun yay (u)	name	item	Yew longbow (u)
Yew shortbow (u)	Porsuk ağacından kısa yay (u)	name	item	Yew shortbow (u)
Magic longbow (u)	Sihirli uzun yay (u)	name	item	Magic longbow (u)
Magic shortbow (u)	Sihirli kısa yay (u)	name	item	Magic shortbow (u)
Khazard helmet	Khazard miğferi	name	item	Khazard helmet
Khazard armour	Hazard zırhı	name	item	Khazard armour
Khazard cell keys	Khazard hücre anahtarları	name	item	Khazard cell keys
Khali brew	Khali demlemesi	name	item	Khali brew
Ice arrows	Buz okları	name	item	Ice arrows
Lever	Kaldıraç	name	item	Lever
Staff of armadyl	Armadyl personeli	name	item	Staff of armadyl
Shiny key	Parlak anahtar	name	item	Shiny key
Pendant of lucien	Lucien'in kolyesi	name	item	Pendant of lucien
Armadyl pendant	Armadyl kolye	name	item	Armadyl pendant
Boots of lightness	Hafiflik botları	name	item	Boots of lightness
Child's blanket	Çocuk battaniyesi	name	item	Child's blanket
Guam potion (unf)	Guam iksiri (unf)	name	item	Guam potion (unf)
Marrentill potion (unf)	Marrentill iksiri (unf)	name	item	Marrentill potion (unf)
Tarromin potion (unf)	Tarromin iksiri (unf)	name	item	Tarromin potion (unf)
Harralander potion (unf)	Harralander iksiri (unf)	name	item	Harralander potion (unf)
Ranarr potion (unf)	Ranarr iksiri (unf)	name	item	Ranarr potion (unf)
Irit potion (unf)	Irit iksiri (unf)	name	item	Irit potion (unf)
Avantoe potion (unf)	Avantoe iksiri (unf)	name	item	Avantoe potion (unf)
