english	translation	category	sub_category	source
Agility both increases the rate at which your Run Energy replenishes while not running and decreases the rate at which it drains while you run.	Beweglichkeit erhöht sowohl die Rate, mit der sich deine Lauf-Energie auffüllt, während du nicht läufst, als auch verringert die Rate, mit der sie sich verbraucht, während du läufst.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You will also gain access to useful shortcuts across Gielinor; these are marked with a green arrow on your map.	Du erhältst außerdem Zugang zu nützlichen Abkürzungen in ganz Gielinor; diese sind auf deiner Karte mit einem grünen Pfeil markiert.	lvl_up_msg	Transcript of Agility	Transcript of Agility
In order to train your Agility skill, you will need an Agility course; these are a series of obstacles that reward experience upon completion.	Um deine Beweglichkeit zu trainieren, brauchst du einen Beweglichkeitsparcours; dies sind eine Reihe von Hindernissen, die nach Abschluss Erfahrung belohnen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Falador Agility shortcut and the Shayzien basic course.	Du kannst nun die Beweglichkeitsabkürzung von Falador und den Grundparcours von Shayzien benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can cross the River Lum to Al Kharid and back by using a mithril grapple.	Mitglieder können mit einem Mithril-Enterhaken den Fluss Lum nach Al Kharid und zurück überqueren.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now cross the rope swing to Moss Giant Island and use the Corsair Cove shortcut.	Du kannst nun die Seilschaukel zur Moosriesen-Insel überqueren und die Abkürzung von Corsair Cove benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can scale Falador south wall with a mithril grapple.	Mitglieder können mit einem Mithril-Enterhaken die Südmauer von Falador erklimmen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the stepping stones in Karamja Dungeon.	Du kannst nun die Trittsteine im Verlies von Karamja benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now jump the fence south of Varrock.	Du kannst nun über den Zaun südlich von Varrock springen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the monkey bars under Edgeville and the Corsair Cove Dungeon shortcut.	Du kannst nun das Klettergerüst unter Edgeville und die Abkürzung im Verlies von Corsair Cove benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Yanille Agility shortcut.	Du kannst nun die Beweglichkeitsabkürzung von Yanille benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use a Kourend Catacombs Agility shortcut.	Du kannst nun eine Beweglichkeitsabkürzung in den Katakomben von Kourend benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Al Kharid course, pass medium level Agility Arena obstacles and cross the coal truck log balance agility shortcut.	Du kannst nun den Parcours von Al Kharid benutzen, Hindernisse mittlerer Stufe in der Beweglichkeitsarena bewältigen und die Baumstamm-Balanceabkürzung am Kohlewagen überqueren.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Grand Exchange Agility shortcut.	Du kannst nun die Beweglichkeitsabkürzung der Grand Exchange benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the pipe contortion in Karamja Dungeon.	Du kannst nun die Rohrverrenkung im Verlies von Karamja benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can scale the Observatory cliff with a mithril grapple.	Mitglieder können mit einem Mithril-Enterhaken die Klippe des Observatoriums erklimmen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now enter the Werewolf Skullball Course and use the cliffside scramble shortcut to get up Eagles' Peak.	Du kannst nun den Werwolf-Schädelball-Parcours betreten und die Kletterabkürzung an der Klippe benutzen, um auf den Eagles' Peak zu gelangen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Falador Agility shortcut.	Du kannst nun die Beweglichkeitsabkürzung von Falador benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Kourend Catacombs pillar jump Agility shortcut.	Du kannst nun die Säulensprung-Beweglichkeitsabkürzung in den Katakomben von Kourend benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the lower cliffside climb by Mount Karuulm.	Du kannst nun den unteren Klippenaufstieg am Mount Karuulm benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Agility Pyramid, the Varrock course, the Stepping stones in south eastern Karamja and the Corsair Cove Resource Area shortcut. You can also use the Penguin Agility Course if you have begun	Du kannst nun die Beweglichkeitspyramide, den Parcours von Varrock, die Trittsteine im Südosten von Karamja und die Abkürzung im Ressourcengebiet von Corsair Cove benutzen. Du kannst außerdem den Pinguin-Beweglichkeitsparcours benutzen, wenn du begonnen hast	lvl_up_msg	Transcript of Agility	Transcript of Agility
the Cold War quest.	die Quest Cold War.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Draynor Manor stones to Champions' guild Agility shortcut.	Du kannst nun die Beweglichkeitsabkürzung über die Steine vom Herrenhaus Draynor zur Champions' Guild benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can now use the Shilo Village river crossing.	Mitglieder können nun die Flussüberquerung von Shilo Village benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Ardougne log balance Agility shortcut.	Du kannst nun die Baumstamm-Balance-Beweglichkeitsabkürzung von Ardougne benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the pipe contortion in Karamja Dungeon and a Kourend Catacombs Agility shortcut.	Du kannst nun die Rohrverrenkung im Verlies von Karamja und eine Beweglichkeitsabkürzung in den Katakomben von Kourend benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now enter the Barbarian Agility Course and the Varrock Palace Garden Agility shortcut.	Du kannst nun den Barbaren-Beweglichkeitsparcours und die Beweglichkeitsabkürzung im Palastgarten von Varrock betreten.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Gnome Stronghold Agility shortcut.	Du kannst nun die Beweglichkeitsabkürzung der Gnomenfestung benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use Al Kharid mining pit cliffside scramble Agility shortcut.	Du kannst nun die Kletter-Beweglichkeitsabkürzung an der Klippe der Mine von Al Kharid benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can scale Yanile south wall by using a mithril grapple.	Mitglieder können mit einem Mithril-Enterhaken die Südmauer von Yanille erklimmen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Canifis course, pass high level Agility Arena obstacles and use the Hosidius lake isle jump Agility shortcut.	Du kannst nun den Parcours von Canifis benutzen, Hindernisse hoher Stufe in der Beweglichkeitsarena bewältigen und die Beweglichkeitsabkürzung über den Sprung zur Seeinsel von Hosidius benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use Trollheim easy cliffside scramble Agility shortcut.	Du kannst nun die einfache Kletter-Beweglichkeitsabkürzung an der Klippe von Trollheim benutzen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use Dwarven mine narrow crevice Agility shortcut and climb the wall at Draynor toward Port Sarim.	Du kannst nun die Beweglichkeitsabkürzung durch die enge Spalte in der Zwergenmine benutzen und die Mauer bei Draynor in Richtung Port Sarim erklimmen.	lvl_up_msg	Transcript of Agility	Transcript of Agility
