english	translation	category	sub_category	source
Agility both increases the rate at which your Run Energy replenishes while not running and decreases the rate at which it drains while you run.	Çeviklik, koşmadığınız zamanlarda Koşu Enerjinizin yenilenme hızını artırırken, koşarken tükenme hızını azaltır.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You will also gain access to useful shortcuts across Gielinor; these are marked with a green arrow on your map.	Ayrıca Gielinor'da faydalı kısayollara da erişebileceksiniz; bunlar haritanızda yeşil okla işaretlenmiştir.	lvl_up_msg	Transcript of Agility	Transcript of Agility
In order to train your Agility skill, you will need an Agility course; these are a series of obstacles that reward experience upon completion.	Çeviklik becerinizi geliştirebilmeniz için bir Çeviklik kursuna ihtiyacınız olacak; bunlar tamamlandığında deneyim kazandıran bir dizi engeldir.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Falador Agility shortcut and the Shayzien basic course.	Artık Falador Çeviklik kısayolunu ve Shayzien temel kursunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can cross the River Lum to Al Kharid and back by using a mithril grapple.	Üyeler mithril pençesini kullanarak Lum Nehri'ni geçip Al Kharid'e geri dönebilirler.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now cross the rope swing to Moss Giant Island and use the Corsair Cove shortcut.	Artık ipli salıncağı geçip Moss Giant Adası'na geçebilir ve Corsair Cove kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can scale Falador south wall with a mithril grapple.	Üyeler mithril pençesiyle Falador'un güney duvarına tırmanabilirler.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the stepping stones in Karamja Dungeon.	Artık Karamja Zindanı'ndaki basamak taşlarını kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now jump the fence south of Varrock.	Artık Varrock'un güneyindeki çitin üzerinden atlayabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the monkey bars under Edgeville and the Corsair Cove Dungeon shortcut.	Artık Edgeville ve Corsair Cove Dungeon kısayolunun altındaki maymun barlarını kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Yanille Agility shortcut.	Artık Yanille Agility kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use a Kourend Catacombs Agility shortcut.	Artık Kourend Catacombs Çeviklik kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Al Kharid course, pass medium level Agility Arena obstacles and cross the coal truck log balance agility shortcut.	Artık Al Kharid parkurunu kullanabilir, orta seviye Çeviklik Arenası engellerini geçebilir ve kömür kamyonu kütük denge çeviklik kısayolunu geçebilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Grand Exchange Agility shortcut.	Artık Grand Exchange Agility kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the pipe contortion in Karamja Dungeon.	Artık Karamja Zindanı'nda boru bükülmesini kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can scale the Observatory cliff with a mithril grapple.	Üyeler, Gözlemevi uçurumuna mithril pençesiyle tırmanabilirler.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now enter the Werewolf Skullball Course and use the cliffside scramble shortcut to get up Eagles' Peak.	Artık Kurt Adam Kafatası Topu Parkuruna girebilir ve Kartal Tepesi'ne çıkmak için uçurum kenarı tırmanma kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Falador Agility shortcut.	Artık Falador Çeviklik kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Kourend Catacombs pillar jump Agility shortcut.	Artık Kourend Catacombs sütun atlama Çeviklik kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the lower cliffside climb by Mount Karuulm.	Artık Karuulm Dağı'nın alt yamacındaki tırmanışı kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Agility Pyramid, the Varrock course, the Stepping stones in south eastern Karamja and the Corsair Cove Resource Area shortcut. You can also use the Penguin Agility Course if you have begun	Artık Çeviklik Piramidi'ni, Varrock parkurunu, Güneydoğu Karamja'daki Basamak Taşları'nı ve Corsair Cove Kaynak Alanı kısayolunu kullanabilirsiniz. Ayrıca, başladıysanız Penguen Çeviklik Parkuru'nu da kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
the Cold War quest.	Soğuk Savaş arayışı.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Draynor Manor stones to Champions' guild Agility shortcut.	Artık Draynor Malikanesi taşlarını Şampiyonlar loncasının çeviklik kısayolu için kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can now use the Shilo Village river crossing.	Üyeler artık Shilo Köyü nehir geçişini kullanabilecekler.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Ardougne log balance Agility shortcut.	Artık Ardougne log bakiyesi Agility kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the pipe contortion in Karamja Dungeon and a Kourend Catacombs Agility shortcut.	Artık Karamja Zindanı'ndaki boru bükülmesini ve Kourend Catacombs Çeviklik kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now enter the Barbarian Agility Course and the Varrock Palace Garden Agility shortcut.	Artık Barbar Çeviklik Parkuruna ve Varrock Sarayı Bahçesi Çeviklik kısayoluna girebilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Gnome Stronghold Agility shortcut.	Artık Gnome Stronghold Agility kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use Al Kharid mining pit cliffside scramble Agility shortcut.	Artık Al Kharid maden çukuru uçurum kenarı tırmanışı Çeviklik kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can scale Yanile south wall by using a mithril grapple.	Üyeler mithril pençesini kullanarak Yanile'nin güney duvarına tırmanabilirler.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Canifis course, pass high level Agility Arena obstacles and use the Hosidius lake isle jump Agility shortcut.	Artık Canifis parkurunu kullanabilir, yüksek seviyeli Çeviklik Arenası engellerini aşabilir ve Hosidius gölü adası atlama Çeviklik kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use Trollheim easy cliffside scramble Agility shortcut.	Artık Trollheim kolay uçurum kenarı tırmanışı Çeviklik kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use Dwarven mine narrow crevice Agility shortcut and climb the wall at Draynor toward Port Sarim.	Artık Cüce madeni dar yarık Çeviklik kısayolunu kullanabilir ve Draynor'daki duvara tırmanarak Port Sarim'e doğru ilerleyebilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use Trollheim medium cliffside scramble Agility shortcut.	Artık Trollheim orta uçurum kenarı tırmanışı Çeviklik kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use Trollheim advanced cliffside scramble.	Artık Trollheim gelişmiş uçurum kenarı tırmanışını kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Elf area log balance and the Hosidius river jump Agility shorcut.	Artık Elf alan kütüğü bakiyesini ve Hosidius nehir atlama çeviklik kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Cosmic Temple medium narrow walkway Agility shortcut.	Artık Cosmic Temple orta dar yürüyüş yolu Agility kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use Trollheim hard cliffside scramble.	Artık Trollheim'daki zorlu uçurum tırmanışını kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Ape Atoll Agility Course, the Shayzien advanced course and the log balance to Fremennik Province Agility shortcut.	Artık Ape Atoll Agility Course, Shayzien Advanced Course ve Log Balance to Fremennik Province Agility kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now equip Crystal Equipment, access the Falador course and cross the stepping stone near the Nature Grotto.	Artık Kristal Ekipmanı kuşanabilir, Falador parkuruna erişebilir ve Doğa Mağarası yakınındaki basamak taşını geçebilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the pipe from Edgeville dungeon to Varrock sewers Agility shortcut.	Artık Edgeville zindanından Varrock kanalizasyonuna giden boruyu çeviklik kısayoluyla kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now enter the Wilderness Agility Course, enter Floor 1 of the Hallowed Sepulchre and use the eastern scramble at the Arceuus essence mine.	Artık Wilderness Agility Parkuruna girebilir, Kutsal Kabir'in 1. katına girebilir ve Arceuus öz madenindeki doğu tırmanışını kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can take a shortcut south of the volcano on the island of Karamja by using a mithril grapple.	Üyeler mithril pençesini kullanarak Karamja adasındaki yanardağın güneyindeki bir kısayoldan gidebilirler.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Motherlode Mine dark tunnel shortcut.	Artık Motherlode Mine karanlık tünel kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the stepping stone by Miscellania docks.	Artık Miscellania rıhtımındaki basamak taşını kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the rock climb in the  Temple of the Eye.	Artık Göz Tapınağı'ndaki kaya tırmanışını kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now jump over the eastern Rellekka fence.	Artık doğu Rellekka çitinin üzerinden atlayabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Elven Overpass easy cliffside scramble Agility shortcut.	Artık Elven Overpass'da kolay uçurum kenarı tırmanışı Çeviklik kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Werewolf and Seers' Village courses, jump the pillars in the Wintertodt's prison, access the God Wars Dungeon via the Agility route, jump the estuary across Mos Le'Harmless and the	Artık Kurt Adam ve Kahinler Köyü parkurlarını kullanabilir, Wintertodt hapishanesindeki sütunlardan atlayabilir, Çeviklik rotası üzerinden Tanrı Savaşları Zindanına erişebilir, Mos Le'Harmless ve diğer taraftaki haliçten atlayabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Slayer tower medium spiked chain climb Agility shortcut.	Artık Slayer kulesi orta dikenli zincir tırmanma çeviklik kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now enter Floor 2 of the Hallowed Sepulchre, use the Slayer Dungeon narrow crevice shortcut, the stepping stones in the Necropolis and the upper cliffside climb by Mount Karuulm.	Artık Kutsal Kabir'in 2. katına girebilir, Katil Zindanı'nın dar yarık kısayolunu, Nekropol'deki basamak taşlarını ve Karuulm Dağı'nın üst yamacındaki tırmanışı kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Taverley dungeon lesser demon fence Agility shortcut and the Darkmeyer wall shortcut.	Artık Taverley zindanı küçük iblis çiti çeviklik kısayolunu ve Darkmeyer duvar kısayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Trollheim Wilderness Agility shortcut and the Rope to the Fossil Island Volcano.	Artık Trollheim Wilderness Agility kısayolunu ve Fosil Adası Yanardağı'na İp'i kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Temple on the Salve to Morytania and easy Revenant cave Agility shortcuts.	Artık Morytania'ya Salve'de Tapınağı ve kolay Revenant mağarası Çeviklik kısayollarını kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
