english	translation	category	sub_category	source
You can now use the Falador Agility shortcut and the Shayzien basic course.	Теперь вы можете использовать сокращенный курс Falador Agility и базовый курс Shayzien.	lvl_up_msg	Agility	Agility level up messages
Members can cross the River Lum to Al Kharid and back by using a mithril grapple.	Участники могут пересечь реку Лум до Аль-Харида и обратно, используя мифриловый крюк.	lvl_up_msg	Agility	Agility level up messages
You can now cross the rope swing to Moss Giant Island and use the Corsair Cove shortcut.	Теперь вы можете пересечь канатную дорогу и попасть на остров Мохового Великана, а затем воспользоваться коротким путем в бухте Корсаров.	lvl_up_msg	Agility	Agility level up messages
Members can scale Falador south wall with a mithril grapple.	Участники могут взобраться на южную стену Фаладора с помощью мифрилового крюка.	lvl_up_msg	Agility	Agility level up messages
You can now use the stepping stones in Karamja Dungeon.	Теперь вы можете использовать ступеньки в подземелье Карамджа.	lvl_up_msg	Agility	Agility level up messages
You can now jump the fence south of Varrock.	Теперь вы можете перепрыгнуть через забор к югу от Варрока.	lvl_up_msg	Agility	Agility level up messages
You can now use the monkey bars under Edgeville and the Corsair Cove Dungeon shortcut.	Теперь вы можете использовать рукоходы под Эджвиллем и ярлык подземелья Корсарской бухты.	lvl_up_msg	Agility	Agility level up messages
You can now use the Yanille Agility shortcut.	Теперь вы можете использовать сочетание клавиш «Ловкость Яниль».	lvl_up_msg	Agility	Agility level up messages
You can now use a Kourend Catacombs Agility shortcut.	Теперь вы можете использовать ярлык ловкости в катакомбах Куренда.	lvl_up_msg	Agility	Agility level up messages
You can now use the Al Kharid course, pass medium level Agility Arena obstacles and cross the coal truck log balance agility shortcut.	Теперь вы можете использовать трассу Al Kharid, проходить препятствия Agility Arena среднего уровня и пересекать кратчайший путь для балансировки бревна угольного грузовика.	lvl_up_msg	Agility	Agility level up messages
You can now use the Grand Exchange Agility shortcut.	Теперь вы можете использовать ярлык Grand Exchange Agility.	lvl_up_msg	Agility	Agility level up messages
You can now use the pipe contortion in Karamja Dungeon.	Теперь вы можете использовать искривление трубы в подземелье Карамджа.	lvl_up_msg	Agility	Agility level up messages
Members can scale the Observatory cliff with a mithril grapple.	Участники могут взобраться на скалу Обсерватории с помощью мифрилового крюка.	lvl_up_msg	Agility	Agility level up messages
You can now enter the Werewolf Skullball Course and use the cliffside scramble shortcut to get up Eagles' Peak.	Теперь вы можете войти на поле для игры в черепной мяч Werewolf и воспользоваться коротким путем по склону скалы, чтобы подняться на пик Иглз.	lvl_up_msg	Agility	Agility level up messages
You can now use the Falador Agility shortcut.	Теперь вы можете использовать сочетание клавиш Falador Agility.	lvl_up_msg	Agility	Agility level up messages
You can now use the Kourent Catacombs pillar jump Agility shortcut.	Теперь вы можете использовать быструю команду ловкости для прыжка со столбом в катакомбах Курента.	lvl_up_msg	Agility	Agility level up messages
You can now use the lower cliffside climb by Mount Karuulm.	Теперь вы можете воспользоваться нижним подъемом по склону горы Каруулм.	lvl_up_msg	Agility	Agility level up messages
You can now use the Agility Pyramid, the Varrock course, the Stepping stones in south eastern Karamja and the Corsair Cove Resource Area shortcut. You can also use the Penguin Agility Course if you have begun the Cold War quest.	Теперь вы можете использовать Agility Pyramid, курс Varrock, Stepping stones на юго-востоке Karamja и ярлык Corsair Cove Resource Area. Вы также можете использовать курс Penguin Agility Course, если вы начали квест Cold War.	lvl_up_msg	Agility	Agility level up messages
You can now use the Draynor Manor stones to Champions' guild Agility shortcut.	Теперь вы можете использовать камни поместья Дрейнор для быстрого доступа к ловкости гильдии чемпионов.	lvl_up_msg	Agility	Agility level up messages
Members can now use the Shilo Village river crossing.	Теперь участники могут воспользоваться речным переходом в деревне Шило.	lvl_up_msg	Agility	Agility level up messages
You can now use Ardougne log balance Agility shortcut.	Теперь вы можете использовать ярлык Agility балансировки журнала Ardougne.	lvl_up_msg	Agility	Agility level up messages
