english	translation	category	sub_category	source
Destroy	Zerstören	inventoryActions	item	Dwarf remains
Drop	Fallen lassen	inventoryActions	item	Steel cannonball
Read	Lesen	inventoryActions	item	Nulodion's notes
Set-up	Stell-Auf	inventoryActions	item	Cannon base
Blow	Blasen	inventoryActions	item	Magic whistle
Ring	Läuten	inventoryActions	item	Grail bell
Blow-on	Puste-An	inventoryActions	item	Magic gold feather
Extinguish	Löschen	inventoryActions	item	Lit black candle
Wield	Anlegen	inventoryActions	item	Excalibur
Wear	Anlegen	inventoryActions	item	Khazard helmet
Empty	Leeren	inventoryActions	item	Guam potion (unf)
Drink	Trinken	inventoryActions	item	Strength potion(4)
Clean	Reinigen	inventoryActions	item	Grimy guam leaf
Eat	Essen	inventoryActions	item	Jangerberries
Equip	Ausrüsten	inventoryActions	item	Cattleprod
Plant	Pflanzen	inventoryActions	item	Mithril seeds
Open	Öffnen	inventoryActions	item	Casket
Throw	Werfen	inventoryActions	item	Bird feed
Bury	Begraben	inventoryActions	item	Bones
Inspect	Begutachten	inventoryActions	item	Ghost's skull
Bail-with	Schöpfe-Mit	inventoryActions	item	Bailing bucket
Activate	Aktivieren	inventoryActions	item	Locating crystal
Search	Durchsuchen	inventoryActions	item	Panning tray
Polish	Polieren	inventoryActions	item	Buttons
Look-at	Schau-An	inventoryActions	item	Level 1 certificate
Complete	Abschließen	inventoryActions	item	Radimus notes
Swing	Schwingen	inventoryActions	item	Bullroarer
Look	Schauen	inventoryActions	item	Sketch
Enchant-Vials	Verzaubere-Phiolen	inventoryActions	item	Binding book
Investigate	Untersuchen	inventoryActions	item	Dark dagger
Cast Spell	Zauber wirken	inventoryActions	item	Holy force
Hold	Halten	inventoryActions	item	Gnomeball
Dig	Graben	inventoryActions	item	Spade
Blackout	Verdunkeln	inventoryActions	item	Disk of returning
Check	Prüfen	inventoryActions	item	Iban's staff
Locate	Orten	inventoryActions	item	Air talisman
Rub-together	Reibe-Zusammen	inventoryActions	item	Dry sticks
Study	Studieren	inventoryActions	item	Map part
Rub	Reiben	inventoryActions	item	Amulet of glory
Edgeville	Edgeville	inventoryActions	item	Amulet of glory(1)
Karamja	Karamja	inventoryActions	item	Amulet of glory(1)
