english	translation	category	sub_category	source
The body of a Dwarf savaged by Goblins.	Der von Goblins zugerichtete Leichnam eines Zwergs.	examine	item	Dwarf remains
Good for repairing broken cannons.	Gut geeignet, um kaputte Kanonen zu reparieren.	examine	item	Toolkit
Ammo suited for a boat's cannon or for a dwarf multicannon.	Munition, die für eine Schiffskanone oder eine Zwergen-Multikanone geeignet ist.	examine	item	Steel cannonball
Construction notes for Dwarf cannon ammo.	Baupläne für die Munition der Zwergenkanone.	examine	item	Nulodion's notes
Used to make cannon ammunition.	Wird zur Herstellung von Kanonenmunition verwendet.	examine	item	Ammo mould
An old note book.	Ein altes Notizbuch.	examine	item	Instruction manual
The cannon is built on this.	Hierauf wird die Kanone aufgebaut.	examine	item	Cannon base
The mounting for the multicannon.	Die Halterung für die Multikanone.	examine	item	Cannon stand
The barrels of the multicannon.	Die Läufe der Multikanone.	examine	item	Cannon barrels
This powers the multicannon.	Dies treibt die Multikanone an.	examine	item	Cannon furnace
A metal railing replacement.	Ein Ersatzteil für ein Metallgeländer.	examine	item	Railing
A cloth given to me by Sir Galahad.	Ein Tuch, das mir Sir Galahad gegeben hat.	examine	item	Holy table napkin
A small tin whistle.	Eine kleine Zinnpfeife.	examine	item	Magic whistle
I wonder what happens when I ring it?	Ich frage mich, was passiert, wenn ich sie läute?	examine	item	Grail bell
It will point the way for me.	Sie wird mir den Weg weisen.	examine	item	Magic gold feather
A holy and powerful artefact.	Ein heiliges und mächtiges Artefakt.	examine	item	Holy grail
A cog from some machinery.	Ein Zahnrad aus irgendeiner Maschinerie.	examine	item	White cog
Doesn't look very tasty.	Sieht nicht sehr lecker aus.	examine	item	Rat poison
Wormy.	Wurmig.	examine	item	Red vine worm
Hemenster fishing contest trophy.	Trophäe des Angelwettbewerbs von Hemenster.	examine	item	Fishing trophy
Pass to the Hemenster fishing contest.	Eintrittskarte zum Angelwettbewerb von Hemenster.	examine	item	Fishing pass
Drives away all known 6 legged creatures.	Vertreibt alle bekannten sechsbeinigen Kreaturen.	examine	item	Insect repellent
It's a bucket of wax.	Es ist ein Eimer voll Wachs.	examine	item	Bucket of wax
A lit spooky candle.	Eine angezündete gruselige Kerze.	examine	item	Lit black candle
A lit candle.	Eine angezündete Kerze.	examine	item	Lit candle
This used to belong to King Arthur.	Dies gehörte einst König Arthur.	examine	item	Excalibur
A candle.	Eine Kerze.	examine	item	Candle
A spooky candle.	Eine gruselige Kerze.	examine	item	Black candle
I can make some arrows with these.	Damit kann ich ein paar Pfeile herstellen.	examine	item	Bronze arrowtips
Opal bolt tips.	Opal-Bolzenspitzen.	examine	item	Opal bolt tips
Pearl bolt tips.	Perl-Bolzenspitzen.	examine	item	Pearl bolt tips
I can make bolts with these.	Damit kann ich Bolzen herstellen.	examine	item	Barb bolttips
I need to find a string for this.	Dafür muss ich eine Sehne finden.	examine	item	Longbow (u)
A wooden arrow shaft.	Ein hölzerner Pfeilschaft.	examine	item	Arrow shaft
A wooden arrow shaft with flights attached.	Ein hölzerner Pfeilschaft mit angebrachten Federn.	examine	item	Headless arrow
An unstrung oak shortbow; I need a bowstring for this.	Ein ungespannter Eichenkurzbogen; dafür brauche ich eine Bogensehne.	examine	item	Oak shortbow (u)
An unstrung oak longbow; I need a bowstring for this.	Ein ungespannter Eichenlangbogen; dafür brauche ich eine Bogensehne.	examine	item	Oak longbow (u)
An unstrung willow longbow; I need a bowstring for this.	Ein ungespannter Weidenlangbogen; dafür brauche ich eine Bogensehne.	examine	item	Willow longbow (u)
An unstrung willow shortbow; I need a bowstring for this.	Ein ungespannter Weidenkurzbogen; dafür brauche ich eine Bogensehne.	examine	item	Willow shortbow (u)
An unstrung maple longbow; I need a bowstring for this.	Ein ungespannter Ahornlangbogen; dafür brauche ich eine Bogensehne.	examine	item	Maple longbow (u)
An unstrung maple shortbow; I need a bowstring for this.	Ein ungespannter Ahornkurzbogen; dafür brauche ich eine Bogensehne.	examine	item	Maple shortbow (u)
An unstrung yew longbow; I need a bowstring for this.	Ein ungespannter Eibenlangbogen; dafür brauche ich eine Bogensehne.	examine	item	Yew longbow (u)
An unstrung yew shortbow; I need a bowstring for this.	Ein ungespannter Eibenkurzbogen; dafür brauche ich eine Bogensehne.	examine	item	Yew shortbow (u)
An unstrung magic longbow; I need a bowstring for this.	Ein ungespannter Magielangbogen; dafür brauche ich eine Bogensehne.	examine	item	Magic longbow (u)
An unstrung magic shortbow; I need a bowstring for this.	Ein ungespannter Magiekurzbogen; dafür brauche ich eine Bogensehne.	examine	item	Magic shortbow (u)
A helmet, as worn by the minions of General Khazard.	Ein Helm, wie ihn die Schergen von General Khazard tragen.	examine	item	Khazard helmet
Armour, as worn by the minions of General Khazard.	Eine Rüstung, wie sie die Schergen von General Khazard tragen.	examine	item	Khazard armour
These keys open the cells at the Khazard fight arena (Used in the Fight Arena quest).	Diese Schlüssel öffnen die Zellen in der Khazard-Kampfarena (Wird in der Quest Fight Arena verwendet).	examine	item	Khazard cell keys
A bottle of Khazard's worst brew.	Eine Flasche von Khazards schlechtestem Gebräu.	examine	item	Khali brew
Can only be fired from yew, magic, dark or twisted bows.	Kann nur aus Eiben-, Magie-, Dunkel- oder Twisted-Bögen abgeschossen werden.	examine	item	Ice arrows
A lever to open something perhaps?	Ein Hebel, um vielleicht etwas zu öffnen?	examine	item	Lever
The power in this staff causes it to vibrate gently.	Die Macht in diesem Stab lässt ihn sanft vibrieren.	examine	item	Staff of armadyl
It catches the light! (Quick access into the Temple of Ikov).	Er fängt das Licht ein! (Schneller Zugang zum Temple of Ikov).	examine	item	Shiny key
An amulet made by Lucien.	Ein von Lucien angefertigtes Amulett.	examine	item	Pendant of lucien
Worn by followers of Armadyl.	Wird von Anhängern Armadyls getragen.	examine	item	Armadyl pendant
Magic boots that make you lighter than normal.	Magische Stiefel, die dich leichter machen als gewöhnlich.	examine	item	Boots of lightness
It's very soft!	Es ist sehr weich!	examine	item	Child's blanket
I need another ingredient to finish this Guam potion.	Ich brauche noch eine Zutat, um diesen Guam-Trank fertigzustellen.	examine	item	Guam potion (unf)
I need another ingredient to finish this Marrentill potion.	Ich brauche noch eine Zutat, um diesen Marrentill-Trank fertigzustellen.	examine	item	Marrentill potion (unf)
I need another ingredient to finish this Tarromin potion.	Ich brauche noch eine Zutat, um diesen Tarromin-Trank fertigzustellen.	examine	item	Tarromin potion (unf)
I need another ingredient to finish this Harralander potion.	Ich brauche noch eine Zutat, um diesen Harralander-Trank fertigzustellen.	examine	item	Harralander potion (unf)
I need another ingredient to finish this Ranarr potion.	Ich brauche noch eine Zutat, um diesen Ranarr-Trank fertigzustellen.	examine	item	Ranarr potion (unf)
I need another ingredient to finish this Irit potion.	Ich brauche noch eine Zutat, um diesen Irit-Trank fertigzustellen.	examine	item	Irit potion (unf)
I need another ingredient to finish this Avantoe potion.	Ich brauche noch eine Zutat, um diesen Avantoe-Trank fertigzustellen.	examine	item	Avantoe potion (unf)
I need another ingredient to finish this Kwuarm potion.	Ich brauche noch eine Zutat, um diesen Kwuarm-Trank fertigzustellen.	examine	item	Kwuarm potion (unf)
I need another ingredient to finish this Cadantine potion.	Ich brauche noch eine Zutat, um diesen Cadantine-Trank fertigzustellen.	examine	item	Cadantine potion (unf)
I need another ingredient to finish this Dwarf Weed potion.	Ich brauche noch eine Zutat, um diesen Zwergenkraut-Trank fertigzustellen.	examine	item	Dwarf weed potion (unf)
I need another ingredient to finish this Torstol potion.	Ich brauche noch eine Zutat, um diesen Torstol-Trank fertigzustellen.	examine	item	Torstol potion (unf)
4 doses of Strength potion.	4 Dosen Stärketrank.	examine	item	Strength potion(4)
3 doses of Strength potion.	3 Dosen Stärketrank.	examine	item	Strength potion(3)
2 doses of Strength potion.	2 Dosen Stärketrank.	examine	item	Strength potion(2)
1 dose of Strength potion.	1 Dosis Stärketrank.	examine	item	Strength potion(1)
3 doses of Attack potion.	3 Dosen Angriffstrank.	examine	item	Attack potion(3)
2 doses of Attack potion.	2 Dosen Angriffstrank.	examine	item	Attack potion(2)
1 dose of Attack potion.	1 Dosis Angriffstrank.	examine	item	Attack potion(1)
3 doses of restore potion.	3 Dosen Wiederherstellungstrank.	examine	item	Restore potion(3)
