english	translation	category	sub_category	source
The body of a Dwarf savaged by Goblins.	Kroppen til en dverg som ble reddet av nisser.	examine	item	Dwarf remains
Good for repairing broken cannons.	Bra for å reparere ødelagte kanoner.	examine	item	Toolkit
Ammo for the Dwarf Cannon.	Ammunisjon til dvergkanonen.	examine	item	Cannonball
Construction notes for Dwarf cannon ammo.	Konstruksjonsnotater for dvergkanonammunisjon.	examine	item	Nulodion's notes
Used to make cannon ammunition.	Brukes til å lage kanonammunisjon.	examine	item	Ammo mould
An old note book.	En gammel notatbok.	examine	item	Instruction manual
The cannon is built on this.	Kanonen er bygget på dette.	examine	item	Cannon base
The mounting for the multicannon.	Monteringen for multikanonen.	examine	item	Cannon stand
The barrels of the multicannon.	Tønnene til multikanonen.	examine	item	Cannon barrels
This powers the multicannon.	Dette driver multikanonen.	examine	item	Cannon furnace
A metal railing replacement.	Erstatning av metallrekkverk.	examine	item	Railing
A cloth given to me by Sir Galahad.	En klut gitt til meg av Sir Galahad.	examine	item	Holy table napkin
A small tin whistle.	En liten blikkfløyte.	examine	item	Magic whistle
I wonder what happens when I ring it?	Jeg lurer på hva som skjer når jeg ringer den?	examine	item	Grail bell
It will point the way for me.	Det vil vise vei for meg.	examine	item	Magic gold feather
A holy and powerful artefact.	En hellig og mektig gjenstand.	examine	item	Holy grail
A cog from some machinery.	Et tannhjul fra noe maskineri.	examine	item	White cog
Doesn't look very tasty.	Ser ikke veldig velsmakende ut.	examine	item	Rat poison
Wormy.	Wormy.	examine	item	Red vine worm
Hemenster fishing contest trophy.	Hemenster fiskekonkurransepokal.	examine	item	Fishing trophy
Pass to the Hemenster fishing contest.	Gå til Hemenster fiskekonkurranse.	examine	item	Fishing pass
Drives away all known 6 legged creatures.	Driver bort alle kjente 6-beinte skapninger.	examine	item	Insect repellent
It's a bucket of wax.	Det er en bøtte med voks.	examine	item	Bucket of wax
A lit spooky candle.	Et tent skummelt lys.	examine	item	Lit black candle
A lit candle.	Et tent lys.	examine	item	Lit candle
This used to belong to King Arthur.	Dette pleide å tilhøre kong Arthur.	examine	item	Excalibur
A candle.	Et stearinlys.	examine	item	Candle
A spooky candle.	Et skummelt stearinlys.	examine	item	Black candle
I can make some arrows with these.	Jeg kan lage noen piler med disse.	examine	item	Bronze arrowtips
Opal bolt tips.	Opal boltspisser.	examine	item	Opal bolt tips
Pearl bolt tips.	Perleboltspisser.	examine	item	Pearl bolt tips
I can make bolts with these.	Jeg kan lage bolter med disse.	examine	item	Barb bolttips
I need to find a string for this.	Jeg må finne en streng for dette.	examine	item	Longbow (u)
A wooden arrow shaft.	Et pilskaft av tre.	examine	item	Arrow shaft
A wooden arrow shaft with flights attached.	Et pilskaft av tre med flyer festet.	examine	item	Headless arrow
An unstrung oak shortbow; I need a bowstring for this.	En ustrengt eikeshortbue; Jeg trenger en buestreng til dette.	examine	item	Oak shortbow (u)
An unstrung oak longbow; I need a bowstring for this.	En ustrengt eikelangbue; Jeg trenger en buestreng til dette.	examine	item	Oak longbow (u)
An unstrung willow longbow; I need a bowstring for this.	En ustrengt pil langbue; Jeg trenger en buestreng til dette.	examine	item	Willow longbow (u)
An unstrung willow shortbow; I need a bowstring for this.	En ustrengt pilshortbue; Jeg trenger en buestreng til dette.	examine	item	Willow shortbow (u)
An unstrung maple longbow; I need a bowstring for this.	En ustrengt langbue av lønn; Jeg trenger en buestreng til dette.	examine	item	Maple longbow (u)
An unstrung maple shortbow; I need a bowstring for this.	En ustrengt lønnshortbue; Jeg trenger en buestreng til dette.	examine	item	Maple shortbow (u)
An unstrung yew longbow; I need a bowstring for this.	En ustrengt barlind-langbue; Jeg trenger en buestreng til dette.	examine	item	Yew longbow (u)
An unstrung yew shortbow; I need a bowstring for this.	En ustrengt barlind kortbue; Jeg trenger en buestreng til dette.	examine	item	Yew shortbow (u)
An unstrung magic longbow; I need a bowstring for this.	En ustrengt magisk langbue; Jeg trenger en buestreng til dette.	examine	item	Magic longbow (u)
An unstrung magic shortbow; I need a bowstring for this.	En ustrengt magisk kortbue; Jeg trenger en buestreng til dette.	examine	item	Magic shortbow (u)
A helmet, as worn by the minions of General Khazard.	En hjelm, som bæres av undersåttene til general Khazard.	examine	item	Khazard helmet
Armour, as worn by the minions of General Khazard.	Rustning, som bæres av undersåttene til general Khazard.	examine	item	Khazard armour
These keys open the cells at the Khazard fight arena (Used in the Fight Arena quest).	Disse nøklene åpner cellene på Khazard-kamparenaen (Brukes i Fight Arena-oppdraget).	examine	item	Khazard cell keys
A bottle of Khazard's worst brew.	En flaske med Khazards verste brygg.	examine	item	Khali brew
Can only be fired from yew, magic, dark or twisted bows.	Kan bare skytes fra barlind, magi, mørke eller vridd buer.	examine	item	Ice arrows
A lever to open something perhaps?	En spak for å åpne noe kanskje?	examine	item	Lever
The power in this staff causes it to vibrate gently.	Kraften i denne staven får den til å vibrere forsiktig.	examine	item	Staff of armadyl
It catches the light! (Quick access into the Temple of Ikov).	Den fanger lyset! (Rask tilgang til Ikov-tempelet).	examine	item	Shiny key
