english	translation	category	sub_category	source
All	Todo	interface	chatButtons	
Game 	Juego	interface	chatButtons	
Public 	Público	interface	chatButtons	
Private 	Privado	interface	chatButtons	
On	Activado	interface	chatButtons	
Channel 	Canal	interface	chatButtons	
Clan 	Clan	interface	chatButtons	
Trade 	Comercio	interface	chatButtons	
Group 	Grupo	interface	chatButtons	
 <colNum0>Autochat</col>	<colNum0>Chat automático</col>	interface	chatButtons	
 <colNum0>Friends</col>	<colNum0>Amigos</col>	interface	chatButtons	
 <colNum0>Filtered</col>	<colNum0>Filtrado</col>	interface	chatButtons	
 <colNum0>Hide</col>	<colNum0>Ocultar</col>	interface	chatButtons	
 <colNum0>Off</col>	<colNum0>Desactivado</col>	interface	chatButtons	
 On		interface	chatButtons	
Combat Achievements - Overview	Logros de Combate - Resumen	interface	combAchvmt	
Total Points: <Num0> - Next unlock in <Num1> points	Puntos Totales: <Num0> - Próximo desbloqueo en <Num1> puntos	interface	combAchvmt	
Difficulty Tiers	Niveles de Dificultad	interface	combAchvmt	
Combat Profile - <!PLAYER_NAME0>	Perfil de Combate - <!PLAYER_NAME0>	interface	combAchvmt	
Easy	Fácil	interface	combAchvmt	
Medium	Medio	interface	combAchvmt	
Hard	Difícil	interface	combAchvmt	
Elite	Élite	interface	combAchvmt	
Master	Maestro	interface	combAchvmt	
Grandmaster	Gran Maestro	interface	combAchvmt	
Tasks Completed:	Tareas Completadas:	interface	combAchvmt	
Boss Kill Count:	Contador de Muertes de Jefes:	interface	combAchvmt	
Skilling Boss Kill Count:	Contador de Muertes de Jefes de Habilidades:	interface	combAchvmt	
Raid Completions:	Incursiones Completadas:	interface	combAchvmt	
Top Boss:	Jefe Principal:	interface	combAchvmt	
<!ANY_TRANSLATED0> (<Num0>)	<!ANY_TRANSLATED0> (<Num0>)	interface	combAchvmt	
Top Skilling Boss:	Jefe de Habilidades Principal:	interface	combAchvmt	
Top Raid:	Incursión Principal:	interface	combAchvmt	
Nothing!	¡Nada!	interface	combAchvmt	
Overview	Resumen	interface	combAchvmt	
Tasks	Tareas	interface	combAchvmt	
Bosses	Jefes	interface	combAchvmt	
Rewards	Recompensas	interface	combAchvmt	
Combat Achievements - Tasks	Logros de Combate - Tareas	interface	combAchvmt	
There are no tasks available to you that match your filters.	No hay tareas disponibles que coincidan con tus filtros.	interface	combAchvmt	
Filters	Filtros	interface	combAchvmt	
Tier:	Nivel:	interface	combAchvmt	
All	Todo	interface	combAchvmt	
Type:	Tipo:	interface	combAchvmt	
Monster:	Monstruo:	interface	combAchvmt	
Completed:	Completado:	interface	combAchvmt	
Noxious Foe	Enemigo Nocivo	interface	combAchvmt	
Barrows Novice	Novato de Barrows	interface	combAchvmt	
Defence? What Defence?	¿Defensa? ¿Qué Defensa?	interface	combAchvmt	
Big, Black and Fiery	Grande Negro y Ardiente	interface	combAchvmt	
The Demonic Punching Bag	El Saco de Boxeo Demoníaco	interface	combAchvmt	
Bryophyta Novice	Novato de Bryophyta	interface	combAchvmt	
Protection from Moss	Protección del Musgo	interface	combAchvmt	
Preparation Is Key	La Preparación es Clave	interface	combAchvmt	
A Slow Death	Una Muerte Lenta	interface	combAchvmt	
Fighting as Intended II	Luchando Como se Pretende II	interface	combAchvmt	
Deranged Archaeologist Novice	Novato del Arqueólogo Trastornado	interface	combAchvmt	
The Walking Volcano	El Volcán Caminante	interface	combAchvmt	
Into the Den of Giants	En la Guarida de Gigantes	interface	combAchvmt	
A Greater Foe	Un Enemigo Mayor	interface	combAchvmt	
Not So Great After All	No Tan Grande Después de Todo	interface	combAchvmt	
A Demon's Best Friend	El Mejor Amigo de un Demonio	interface	combAchvmt	
Obor Novice	Novato de Obor	interface	combAchvmt	
Sleeping Giant	Gigante Durmiente	interface	combAchvmt	
Fighting as Intended	Luchando Como se Pretende	interface	combAchvmt	
King Black Dragon Novice	Novato del Rey Dragón Negro	interface	combAchvmt	
A Scaley Encounter	Un Encuentro Escamoso	interface	combAchvmt	
Shayzien Protector	Protector de Shayzien	interface	combAchvmt	
Giant Mole Novice	Novato del Topo Gigante	interface	combAchvmt	
Sarachnis Novice	Novato de Sarachnis	interface	combAchvmt	
Wintertodt Novice	Novato de Wintertodt	interface	combAchvmt	
Mummy!	¡Momia!	interface	combAchvmt	
Handyman	Manitas	interface	combAchvmt	
Cosy	Acogedor	interface	combAchvmt	
A Slithery Encounter	Un Encuentro Serpenteante	interface	combAchvmt	
Tempoross Novice	Novato de Tempoross	interface	combAchvmt	
Master of Buckets	Maestro de Cubos	interface	combAchvmt	
Calm Before the Storm	Calma Antes de la Tormenta	interface	combAchvmt	
Fire in the Hole!	¡Fuego en el Agujero!	interface	combAchvmt	
Scurrius Novice	Novato de Scurrius	interface	combAchvmt	
Sit Rat	Siéntate Rata	interface	combAchvmt	
One by one	Uno por uno	interface	combAchvmt	
Elemental Company	Compañía Elemental	interface	combAchvmt	
Let them fight	Déjalos pelear	interface	combAchvmt	
Sit Back and Relax	Siéntate y Relájate	interface	combAchvmt	
Barrows Champion	Campeón de Barrows	interface	combAchvmt	
Can't Touch Me	No Puedes Tocarme	interface	combAchvmt	
Pray for Success	Reza por el Éxito	interface	combAchvmt	
Brutal, Big, Black and Firey	Brutal Grande Negro y Ardiente	interface	combAchvmt	
Bryophyta Champion	Campeón de Bryophyta	interface	combAchvmt	
Quick Cutter	Cortador Rápido	interface	combAchvmt	
Demonic Weakening	Debilitamiento Demoníaco	interface	combAchvmt	
Demonbane Weaponry	Armamento Demonbane	interface	combAchvmt	
Chaos Fanatic Champion	Campeón del Fanático del Caos	interface	combAchvmt	
Sorry, What Was That?	¿Perdón Qué Fue Eso?	interface	combAchvmt	
Crazy Archaeologist Champion	Campeón del Arqueólogo Loco	interface	combAchvmt	
Mage of the Ruins	Mago de las Ruinas	interface	combAchvmt	
I'd Rather Not Learn	Prefiero No Aprender	interface	combAchvmt	
Deranged Archaeologist Champion	Campeón del Arqueólogo Trastornado	interface	combAchvmt	
Mage of the Swamp	Mago del Pantano	interface	combAchvmt	
I'd Rather Be Illiterate	Prefiero Ser Analfabeto	interface	combAchvmt	
A Smashing Time	Un Tiempo Aplastante	interface	combAchvmt	
Obor Champion	Campeón de Obor	interface	combAchvmt	
Back to the Wall	De Espaldas a la Pared	interface	combAchvmt	
Squashing the Giant	Aplastando al Gigante	interface	combAchvmt	
King Black Dragon Champion	Campeón del Rey Dragón Negro	interface	combAchvmt	
Claw Clipper	Cortauñas	interface	combAchvmt	
Hide Penetration	Penetración de Piel	interface	combAchvmt	
Antifire Protection	Protección Antifuego	interface	combAchvmt	
Master of Broad Weaponry	Maestro del Armamento Ancho	interface	combAchvmt	
Giant Mole Champion	Campeón del Topo Gigante	interface	combAchvmt	
Avoiding Those Little Arms	Evitando Esos Bracitos	interface	combAchvmt	
Dagannoth Prime Champion	Campeón de Dagannoth Prime	interface	combAchvmt	
Dagannoth Rex Champion	Campeón de Dagannoth Rex	interface	combAchvmt	
A Frozen King	Un Rey Congelado	interface	combAchvmt	
Sarachnis Champion	Campeón de Sarachnis	interface	combAchvmt	
Newspaper Enthusiast	Entusiasta de Periódicos	interface	combAchvmt	
A Frozen Foe from the Past	Un Enemigo Congelado del Pasado	interface	combAchvmt	
Dagannoth Supreme Champion	Campeón de Dagannoth Supreme	interface	combAchvmt	
Wintertodt Champion	Campeón de Wintertodt	interface	combAchvmt	
Can We Fix It?	¿Podemos Arreglarlo?	interface	combAchvmt	
Leaving No One Behind	No Dejar a Nadie Atrás	interface	combAchvmt	
Skotizo Champion	Campeón de Skotizo	interface	combAchvmt	
Tempoross Champion	Campeón de Tempoross	interface	combAchvmt	
The Lone Angler	El Pescador Solitario	interface	combAchvmt	
Scurrius Champion	Campeón de Scurrius	interface	combAchvmt	
Perfect Scurrius	Scurrius Perfecto	interface	combAchvmt	
Efficient Pest Control	Control de Plagas Eficiente	interface	combAchvmt	
Lunar Triplet	Trío Lunar	interface	combAchvmt	
Perilous Novice	Novato Peligroso	interface	combAchvmt	
Back to Our Roots	De Vuelta a Nuestras Raíces	interface	combAchvmt	
Moons of Peril Speed-Trialist	Velocista de las Lunas del Peligro	interface	combAchvmt	
Hueycoatl Champion	Campeón de Hueycoatl	interface	combAchvmt	
You're a wizard	Eres un mago	interface	combAchvmt	
Amoxliatl Champion	Campeón de Amoxliatl	interface	combAchvmt	
Temotli Triumph	Triunfo de Temotli	interface	combAchvmt	
Royal Titan Champion	Campeón de Titán Real	interface	combAchvmt	
Royal Titan Adept	Adepto de Titán Real	interface	combAchvmt	
It takes too long	Toma demasiado tiempo	interface	combAchvmt	
Abyssal Adept	Adepto Abisal	interface	combAchvmt	
They Grow Up Too Fast	Crecen Demasiado Rápido	interface	combAchvmt	
Don't Whip Me	No Me Azotes	interface	combAchvmt	
Don't Stop Moving	No Pares de Moverte	interface	combAchvmt	
Kree'arra Adept	Adepto de Kree'arra	interface	combAchvmt	
Airborne Showdown	Enfrentamiento Aéreo	interface	combAchvmt	
General Graardor Adept	Adepto del General Graardor	interface	combAchvmt	
Ourg Freezer	Congelador Oourg	interface	combAchvmt	
General Showdown	Enfrentamiento General	interface	combAchvmt	
Just Like That	Así de Simple	interface	combAchvmt	
Faithless Crypt Run	Carrera de Cripta Sin Fe	interface	combAchvmt	
Callisto Adept	Adepto de Callisto	interface	combAchvmt	
Skotizo Adept	Adepto de Skotizo	interface	combAchvmt	
Chaos Elemental Adept	Adepto del Elemental del Caos	interface	combAchvmt	
Hoarder	Acaparador	interface	combAchvmt	
The Flincher	El Que Se Encoge	interface	combAchvmt	
Chaos Fanatic Adept	Adepto del Fanático del Caos	interface	combAchvmt	
Praying to the Gods	Rezando a los Dioses	interface	combAchvmt	
Crazy Archaeologist Adept	Adepto del Arqueólogo Loco	interface	combAchvmt	
Grotesque Guardians Adept	Adepto de los Guardianes Grotescos	interface	combAchvmt	
Don't Look at the Eclipse	No Mires el Eclipse	interface	combAchvmt	
Prison Break	Fuga de Prisión	interface	combAchvmt	
Granite Footwork	Trabajo de Pies de Granito	interface	combAchvmt	
Heal No More	No Más Curación	interface	combAchvmt	
Static Awareness	Conciencia Estática	interface	combAchvmt	
