english	translation	category	sub_category	source
Hello.	Привет.	dialogue	'Beedy-eye' Jones	Player
Ah, good day to you [milady/sirrah]! Your face is unfamiliar, did you perhaps join us aboard the ship at Lunar Isle?	Ах, добрый день вам [миледи/сэрра]! Ваше лицо мне незнакомо, возможно, вы присоединились к нам на борту корабля на Лунном острове?	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
No, Lokar offered me a lift in Rellekka actually.	Нет, на самом деле Локар предложил подвезти меня в Реллекке.	dialogue	'Beedy-eye' Jones	Player
Oh, really? You don't look like a Fremennik to me!	О, правда? Мне кажется, ты не похож на фрименника!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Well... I kind of am, and I kind of aren't. It's a long story.	Ну... Я как бы да, и как бы нет. Это долгая история.	dialogue	'Beedy-eye' Jones	Player
Sorry I don't have time to hear it then! See you around young fremennik-who-is-not-really-a-fremennik!	Извините, у меня нет времени это слушать! Увидимся, молодой фрименник-который-на самом деле-не-фрименник!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
'Bye.	'Пока.	dialogue	'Beedy-eye' Jones	Player
Aren't you a little short for a pirate?	Не слишком ли ты мал для пирата?	dialogue	'Beedy-eye' Jones	Player
My mother was a gnome. Apparently it was a very painful birth.	Моя мать была гномом. Видимо, роды были очень болезненными.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
More info than I wanted, thanks!	Больше информации, чем я хотел, спасибо!	dialogue	'Beedy-eye' Jones	Player
ARGH! SOUND THE ALARM! STOWAWAY ON BOARD! STOWAWAY ON BOARD!	ААААА! БЕЙТЕ ТРЕВОГУ! НА БОРТУ БЕЗБИЛЕТНЫЙ ПАССАЖИР! НА БОРТУ БЕЗБИЛЕТНЫЙ ПАССАЖИР!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
No! I'm not a stowaway! Honest! I was invited here!	Нет! Я не безбилетник! Честно! Меня сюда пригласили!	dialogue	'Beedy-eye' Jones	Player
Oh, sorry, my mistake then.	Ой, извините, тогда это моя ошибка.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You must admit you do look a lot like a stowaway though.	Хотя, признай, ты и вправду похож на безбилетника.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Why, what do they usually look like?	Почему, как они обычно выглядят?	dialogue	'Beedy-eye' Jones	Player
Erm... I've never actually met one...	Эм... Я никогда не встречал ни одного...	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Okay then...	Хорошо, тогда...	dialogue	'Beedy-eye' Jones	Player
Brrrr! Its cold up here!	Бррр! Здесь холодно!	dialogue	'Beedy-eye' Jones	Player
You think this is cold? Up by Acheron it gets so cold that when you talk you see the words freeze in the air in front of you!	Думаешь, здесь холодно? Наверху, у Ахерона, становится так холодно, что когда ты говоришь, ты видишь, как слова замерзают в воздухе перед тобой!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
REALLY?	ДЕЙСТВИТЕЛЬНО?	dialogue	'Beedy-eye' Jones	Player
Nah, not really. I was exaggerating for humourous effect. It is very very cold though!	Да нет, не совсем. Я преувеличил для юмористического эффекта. Но очень-очень холодно!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Hello.	Привет.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
So... You're a pirate, huh?	Итак... Ты пират, да?	dialogue	'Beedy-eye' Jones	Player
It's what it says on my pay-packet at the end of the month.	Это то, что указано в моей зарплате в конце месяца.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
How's that working out for you?	Как у вас это получается?	dialogue	'Beedy-eye' Jones	Player
