english	translation	category	sub_category	source
Agility both increases the rate at which your Run Energy replenishes while not running and decreases the rate at which it drains while you run.	Ceviklik, kosmadiginiz sirada Kosma Enerjinizin yenilenme hizini artirirken, kostugunuz sirada bu enerjinin tükenme hizini azaltir.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You will also gain access to useful shortcuts across Gielinor; these are marked with a green arrow on your map.	Ayrica Gielinor'da kullanisli kisayollara erisim kazanacaksiniz; bunlar haritanizda yesil oklarla isaretlenmistir.	lvl_up_msg	Transcript of Agility	Transcript of Agility
In order to train your Agility skill, you will need an Agility course; these are a series of obstacles that reward experience upon completion.	Ceviklik becerinizi gelistirmek icin bir Ceviklik parkuruna ihtiyaciniz olacak; bunlar tamamlandiginda deneyim puani kazandiran bir dizi engelden olusur.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Falador Agility shortcut and the Shayzien basic course.	Artik Falador Ceviklik kisayolunu ve Shayzien temel parkurunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can cross the River Lum to Al Kharid and back by using a mithril grapple.	Member'lar, mithril kanca kullanarak Lum Nehri'ni gecip Al Kharid'e gidip geri dönebilirler.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now cross the rope swing to Moss Giant Island and use the Corsair Cove shortcut.	Artik ip salincakla Moss Giant Adasi'na gecebilir ve Corsair Cove kisayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can scale Falador south wall with a mithril grapple.	Member'lar, mithril kanca ile Falador'un güney duvarini tirmanabilirler.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the stepping stones in Karamja Dungeon.	Artik Karamja Zindani'ndaki basamak taslarini kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now jump the fence south of Varrock.	Artik Varrock'un güneyindeki citi atlayabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the monkey bars under Edgeville and the Corsair Cove Dungeon shortcut.	Artik Edgeville altindaki maymun barlarini ve Corsair Cove Zindani kisayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Yanille Agility shortcut.	Artik Yanille Agility kisayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use a Kourend Catacombs Agility shortcut.	Artik Kourend Catacombs Agility kisayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Al Kharid course, pass medium level Agility Arena obstacles and cross the coal truck log balance agility shortcut.	Artik Al Kharid parkurunu kullanabilir, orta seviye Agility Arena engellerini gecebilir ve kömür kamyonu kütük dengesi agility kisayolunu gecebilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Grand Exchange Agility shortcut.	Artik Grand Exchange Agility kisayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the pipe contortion in Karamja Dungeon.	Artik Karamja Zindani'ndaki boru contortion'i kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
Members can scale the Observatory cliff with a mithril grapple.	Member'lar, mithril grapple ile Gözlemevi kayaligini tirmanabilirler.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now enter the Werewolf Skullball Course and use the cliffside scramble shortcut to get up Eagles' Peak.	Artik Werewolf Skullball Parkuru'na girebilir ve Eagles' Peak'e cikmak icin kayalik kenarindaki scramble kisayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Falador Agility shortcut.	Artik Falador Agility kisayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Kourend Catacombs pillar jump Agility shortcut.	Artik Kourend Catacombs sütun atlama Agility kisayolunu kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the lower cliffside climb by Mount Karuulm.	Artik Mount Karuulm'un alt kayalik tirmanisini kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
You can now use the Agility Pyramid, the Varrock course, the Stepping stones in south eastern Karamja and the Corsair Cove Resource Area shortcut. You can also use the Penguin Agility Course if you have begun	Artik Agility Pyramid, Varrock parkuru, Karamja'nin güneydogusundaki Stepping stones ve Corsair Cove Resource Area kisayolunu kullanabilirsiniz. Cold War görevine basladiysaniz, Penguin Agility Course'u da kullanabilirsiniz.	lvl_up_msg	Transcript of Agility	Transcript of Agility
