english	translation	category	sub_category	source
Barbarian Assault	Варварское нападение	manual	activity	
Blast Furnace	Доменная печь	manual	activity	
Castle Wars	Войны замков	manual	activity	
Fishing Trawler	Рыболовный траулер	manual	activity	
Burthorpe Games Room	Игровая комната Берторпа	manual	activity	
Nightmare Zone	Зона Кошмара	manual	activity	
Pest Control	Борьба с вредителями	manual	activity	
Rat Pits	Крысиные ямы	manual	activity	
Shades of Mort'ton	Тени Морт'тона	manual	activity	
Trouble Brewing	Назревают проблемы	manual	activity	
TzHaar Fight Pit	Бойцовская яма TzHaar	manual	activity	
Shield of Arrav	Щит Аррава	manual	activity	
Clan Wars	Войны кланов	manual	activity	
Giants' Foundry	Литейный завод гигантов	manual	activity	
God Wars	Войны Богов	manual	activity	
Guardians of the Rift	Стражи Разлома	manual	activity	
Dagannoth Kings	Даганнот Кингс	manual	activity	
Player Owned Houses	Дома, принадлежащие игроку	manual	activity	
Tithe Farm	Десятинная ферма	manual	activity	
Last Man Standing	Последний выживший	manual	activity	
Volcanic Mine	Вулканическая шахта	manual	activity	
Theatre of Blood	Театр Крови	manual	activity	
Soul Wars	Душевные Войны	manual	activity	
Shooting Stars	Падающие звезды	manual	activity	
Tombs of Amascut	Гробницы Амаскута	manual	activity	
Mage Training Arena	Арена для тренировок магов	manual	activity	
Yes	Да	manual	emote	
No	Нет	manual	emote	
Bow	Поклон	manual	emote	
Angry	Злой	manual	emote	
Think	Думать	manual	emote	
Wave	Волна	manual	emote	
Shrug	Пожимание плечами	manual	emote	
Cheer	Радость	manual	emote	
Beckon	Манить	manual	emote	
Laugh	Смех	manual	emote	
Jump for Joy	Прыгай от радости	manual	emote	
Yawn	Зевать	manual	emote	
Dance	Танец	manual	emote	
Jig	Джиг	manual	emote	
Spin	Вращаться	manual	emote	
Headbang	Тряска головой	manual	emote	
Cry	Плакать	manual	emote	
Blow Kiss	Воздушный поцелуй	manual	emote	
Panic	Паника	manual	emote	
Raspberry	Малина	manual	emote	
Clap	Хлопок	manual	emote	
Salute	Салют	manual	emote	
