english	translation	category	sub_category	source
You can now use the Falador Agility shortcut and the Shayzien basic course.	Du kan nå bruke Falador Agility-snarveien og Shayzien-grunnkurset.	lvl_up_msg	Agility	Agility level up messages
Members can cross the River Lum to Al Kharid and back by using a mithril grapple.	Medlemmer kan krysse elven Lum til Al Kharid og tilbake ved å bruke en mithril-gripe.	lvl_up_msg	Agility	Agility level up messages
You can now cross the rope swing to Moss Giant Island and use the Corsair Cove shortcut.	Du kan nå krysse tau-svingen til Moss Giant Island og bruke Corsair Cove-snarveien.	lvl_up_msg	Agility	Agility level up messages
Members can scale Falador south wall with a mithril grapple.	Medlemmer kan skalere Falador sørvegg med en mithril-gripe.	lvl_up_msg	Agility	Agility level up messages
You can now use the stepping stones in Karamja Dungeon.	Du kan nå bruke stepping stones i Karamja Dungeon.	lvl_up_msg	Agility	Agility level up messages
You can now jump the fence south of Varrock.	Du kan nå hoppe over gjerdet sør for Varrock.	lvl_up_msg	Agility	Agility level up messages
You can now use the monkey bars under Edgeville and the Corsair Cove Dungeon shortcut.	Du kan nå bruke apestengene under Edgeville og Corsair Cove Dungeon-snarveien.	lvl_up_msg	Agility	Agility level up messages
You can now use the Yanille Agility shortcut.	Du kan nå bruke Yanille Agility-snarveien.	lvl_up_msg	Agility	Agility level up messages
You can now use a Kourend Catacombs Agility shortcut.	Du kan nå bruke en Kourend Catacombs Agility-snarvei.	lvl_up_msg	Agility	Agility level up messages
You can now use the Al Kharid course, pass medium level Agility Arena obstacles and cross the coal truck log balance agility shortcut.	Du kan nå bruke Al Kharid-banen, passere Agility Arena-hindringer på middels nivå og krysse agility-snarveien for kullbilen.	lvl_up_msg	Agility	Agility level up messages
You can now use the Grand Exchange Agility shortcut.	Du kan nå bruke snarveien til Grand Exchange Agility.	lvl_up_msg	Agility	Agility level up messages
You can now use the pipe contortion in Karamja Dungeon.	Du kan nå bruke rørformingen i Karamja Dungeon.	lvl_up_msg	Agility	Agility level up messages
Members can scale the Observatory cliff with a mithril grapple.	Medlemmer kan skalere observatoriets klippe med en mithril-gripe.	lvl_up_msg	Agility	Agility level up messages
You can now enter the Werewolf Skullball Course and use the cliffside scramble shortcut to get up Eagles' Peak.	Du kan nå gå inn på Werewolf Skullball Course og bruke klippekanten for å komme deg opp Eagles&#39; Peak.	lvl_up_msg	Agility	Agility level up messages
You can now use the Falador Agility shortcut.	Du kan nå bruke Falador Agility-snarveien.	lvl_up_msg	Agility	Agility level up messages
You can now use the Kourent Catacombs pillar jump Agility shortcut.	Du kan nå bruke Kourent Catacombs pilar jump Agility-snarvei.	lvl_up_msg	Agility	Agility level up messages
You can now use the lower cliffside climb by Mount Karuulm.	Du kan nå bruke den nedre klippestigningen ved Karuulm-fjellet.	lvl_up_msg	Agility	Agility level up messages
You can now use the Agility Pyramid, the Varrock course, the Stepping stones in south eastern Karamja and the Corsair Cove Resource Area shortcut. You can also use the Penguin Agility Course if you have begun the Cold War quest.	Du kan nå bruke Agility Pyramid, Varrock-banen, stepping stones i sørøstlige Karamja og Corsair Cove Resource Area-snarveien. Du kan også bruke Penguin Agility Course hvis du har begynt den kalde krigen.	lvl_up_msg	Agility	Agility level up messages
You can now use the Draynor Manor stones to Champions' guild Agility shortcut.	Du kan nå bruke Draynor Manor-steinene til Champions guild Agility-snarvei.	lvl_up_msg	Agility	Agility level up messages
Members can now use the Shilo Village river crossing.	Medlemmer kan nå bruke Shilo Village-elvekrysset.	lvl_up_msg	Agility	Agility level up messages
You can now use Ardougne log balance Agility shortcut.	Du kan nå bruke Ardougne loggbalanse Agility-snarvei.	lvl_up_msg	Agility	Agility level up messages
You can now use the pipe contortion in Karamja Dungeon and a Kourend Catacombs Agility shortcut.	Du kan nå bruke pipe contortion i Karamja Dungeon og en Kourend Catacombs Agility-snarvei.	lvl_up_msg	Agility	Agility level up messages
You can now enter the Barbarian Agility Course.	Du kan nå gå inn på Barbarian Agility Course.	lvl_up_msg	Agility	Agility level up messages
Members can get off the water obelisk island near Catherby with a mithril grapple.	Medlemmer kan gå av vannobelisk-øya nær Catherby med en mithril-gripe.	lvl_up_msg	Agility	Agility level up messages
You can now use the Gnome Stronghold Agility shortcut.	Du kan nå bruke Gnome Stronghold Agility-snarveien.	lvl_up_msg	Agility	Agility level up messages
You can now use Al Kharid mining pit cliffside scramble Agility shortcut.	Du kan nå bruke Al Kharid mining pit cliffside scramble Agility-snarvei.	lvl_up_msg	Agility	Agility level up messages
Members can scale Yanile south wall by using a mithril grapple.	Medlemmer kan skalere Yaniles sørvegg ved å bruke en mithril-gripe.	lvl_up_msg	Agility	Agility level up messages
You can now use the Canifis course, pass high level Agility Arena obstacles and use the Hosidius lake isle jump Agility shortcut.	Du kan nå bruke Canifis-banen, passere Agility Arena-hindringer på høyt nivå og bruke Hosidius-snarveien ved innsjøen på øya.	lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim easy cliffside scramble Agility shortcut.	Du kan nå bruke Trollheim easy cliffside scramble Agility-snarvei.	lvl_up_msg	Agility	Agility level up messages
You can now use Dwarven mine narrow crevice Agility shortcut and climb the wall at Draynor toward Port Sarim.	Du kan nå bruke Agility-snarveien for den smale gruven til Dwarven og klatre på veggen ved Draynor mot Port Sarim.	lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim medium cliffside scramble Agility shortcut.	Du kan nå bruke Trollheim medium cliffside scramble Agility-snarvei.	lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim advanced cliffside scramble.	Du kan nå bruke Trollheim avansert cliffside scramble.	lvl_up_msg	Agility	Agility level up messages
You can now use the Elf area log balance and the Hosidius river jump Agility shorcut.	Du kan nå bruke alveområdets loggbalanse og Hosidius-elvehoppet Agility-snarveien.	lvl_up_msg	Agility	Agility level up messages
You can now use the Cosmic Temple medium narrow walkway Agility shortcut.	Du kan nå bruke Cosmic Temple middels smal gangvei Agility-snarveien.	lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim hard cliffside scramble.	Du kan nå bruke Trollheim hard cliffside scramble.	lvl_up_msg	Agility	Agility level up messages
You can now use the Ape Atoll Agility Course, the Shayzien advanced course and the log balance to Fremennik Province Agility shortcut.	Du kan nå bruke Ape Atoll Agility Course, Shayzien avansert kurs og loggbalansen til Fremennik Province Agility snarvei.	lvl_up_msg	Agility	Agility level up messages
You can now equip Crystal Equipment, access the Falador course and cross the stepping stone near the Nature Grotto.	Du kan nå utstyre Crystal Equipment, få tilgang til Falador-banen og krysse trappestenen i nærheten av naturgrotten.	lvl_up_msg	Agility	Agility level up messages
You can now use the pipe from Edgeville dungeon to Varrock sewers Agility shortcut.	Du kan nå bruke røret fra Edgeville dungeon til Varrock sewers Agility snarvei.	lvl_up_msg	Agility	Agility level up messages
You can now enter the Wilderness Agility Course, enter Floor 1 of the Hallowed Sepulchre and use the eastern scramble at the Arceuus essence mine.	Du kan nå gå inn på Wilderness Agility Course, gå inn i etasje 1 i Hallowed Sepulcher og bruke den østlige scramble ved Arceuus essensgruven.	lvl_up_msg	Agility	Agility level up messages
Members can take a shortcut south of the volcano on the island of Karamja by using a mithril grapple.	Medlemmer kan ta en snarvei sør for vulkanen på øya Karamja ved å bruke en mithril-gripe.	lvl_up_msg	Agility	Agility level up messages
You can now use the Motherlode Mine dark tunnel shortcut.	Du kan nå bruke den mørke tunnelsnarveien til Motherlode Mine.	lvl_up_msg	Agility	Agility level up messages
You can now use the stepping stone by Miscellania docks.	Du kan nå bruke springbrettet ved Miscellania-bryggene.	lvl_up_msg	Agility	Agility level up messages
You can now use the rock climb in the  Temple of the Eye.	Du kan nå bruke fjellklatringen i Temple of the Eye.	lvl_up_msg	Agility	Agility level up messages
You can now jump over the eastern Rellekka fence.	Du kan nå hoppe over det østre Rellekka-gjerdet.	lvl_up_msg	Agility	Agility level up messages
You can now use the Elven Overpass easy cliffside scramble Agility shortcut.	Du kan nå bruke Elven Overpass-snarveien for enkel klippeside-scramble Agility.	lvl_up_msg	Agility	Agility level up messages
You can now use the Werewolf and Seers' Village courses, jump the pillars in the Wintertodt's prison, access the God Wars Dungeon via the Agility route, jump the estuary across Mos Le'Harmless and the	Du kan nå bruke kursene Werewolf og Seers&#39; Village, hoppe over søylene i Wintertodts fengsel, få tilgang til God Wars Dungeon via Agility-ruten, hoppe i elvemunningen over Mos Le&#39;Harmless og	lvl_up_msg	Agility	Agility level up messages
You can now use the Slayer tower medium spiked chain climb Agility shortcut.	Du kan nå bruke Slayer-tårnet med middels piggete kjedeklatring Agility-snarveien.	lvl_up_msg	Agility	Agility level up messages
You can now enter Floor 2 of the Hallowed Sepulchre, use the Slayer Dungeon narrow crevice shortcut, the stepping stones in the Necropolis and the upper cliffside climb by Mount Karuulm.	Du kan nå gå inn i etasje 2 i den hellige graven, bruke snarveien til Slayer Dungeon med smal sprekk, trappesteinene i Necropolis og den øvre klippekanten ved Mount Karuulm.	lvl_up_msg	Agility	Agility level up messages
You can now use the Taverley dungeon lesser demon fence Agility shortcut and the Darkmeyer wall shortcut.	Du kan nå bruke Taverley dungeon lesser demon gjerdet Agility-snarveien og Darkmeyer-veggen.	lvl_up_msg	Agility	Agility level up messages
You can now use the Trollheim Wilderness Agility shortcut and the Rope to the Fossil Island Volcano.	Du kan nå bruke Trollheim Wilderness Agility-snarveien og tauet til Fossil Island Volcano.	lvl_up_msg	Agility	Agility level up messages
You can now use the Temple on the Salve to Morytania and easy Revenant cave Agility shortcuts.	Du kan nå bruke Temple on the Salve to Morytania og enkle Revenant Cave Agility-snarveier.	lvl_up_msg	Agility	Agility level up messages
You can now use the Cosmic Temple advanced narrow walkway Agility shortcut and jump the stepping stone from Lumbridge to the Desert.	Du kan nå bruke Cosmic Temples avanserte smale gangvei Agility-snarveien og hoppe på springbrettet fra Lumbridge til ørkenen.	lvl_up_msg	Agility	Agility level up messages
You can now use the Elven Overpass medium cliffside scramble and the Ice Mountain western scramble Agility shortcuts.	Du kan nå bruke Elven Overpass medium cliffside-scramble og Ice Mountain western-scramble Agility-snarveiene.	lvl_up_msg	Agility	Agility level up messages
You can now use the northern scramble at the Arceuus essence mine.	Du kan nå bruke den nordlige scramble ved Arceuus essensgruven.	lvl_up_msg	Agility	Agility level up messages
You can now use the Dorgeshuun and Pollnivneach Courses, use the Taverley Dungeon dragon and Fossil Island hardwood shortcuts, access the Saradomin God Wars Dungeon area and equip Rings of Endurance	Du kan nå bruke kursene Dorgeshuun og Pollnivneach, bruke snarveiene Taverley Dungeon dragon og Fossil Island hardved, få tilgang til Saradomin God Wars Dungeon-området og utstyre Rings of Endurance	lvl_up_msg	Agility	Agility level up messages
You can now use the Slayer tower advanced spiked chain climb Agility shortcut and the Gu'Tanoth wall climb if you have completed the Watchtower quest.	Du kan nå bruke Slayer-tårnets avanserte kjedeklatring Agility-snarvei og Gu&#39;Tanoth-veggklatringen hvis du har fullført Watchtower-oppdraget.	lvl_up_msg	Agility	Agility level up messages
You can now enter Floor 3 of the Hallowed Sepulchre, and use the Stronghold Slayer Cave narrow tunnel and Asgarnian Ice Dungeon wyvern tunnel.	Du kan nå gå inn i etasje 3 i Hallowed Sepulchre, og bruke Stronghold Slayer Cave smale tunnelen og Asgarnian Ice Dungeon wyvern-tunnelen.	lvl_up_msg	Agility	Agility level up messages
You can now use the Troll Stronghold wall-climb and the western descent at the Arceuus essence mine.	Du kan nå bruke Troll Stronghold-veggklatringen og den vestlige nedstigningen ved Arceuus-essensgruven.	lvl_up_msg	Agility	Agility level up messages
